cycle_id,building_id,review_day,actual_g,predicted_g,lower_80_g,upper_80_g,lower_90_g,upper_90_g,covered_80,covered_90,target_status_80
2025-2,Tags 1,7,1573.0,1533.9524999999999,1207.7011363636361,1860.2038636363636,1010.4606818181815,2057.4443181818183,True,True,Uncertain
2025-2,Tags 2,7,1599.0,1527.9524999999999,1201.7011363636361,1854.2038636363636,1004.4606818181815,2051.4443181818183,True,True,Uncertain
2025-2,Tags 3,7,1544.0,1532.9524999999999,1206.7011363636361,1859.2038636363636,1009.4606818181815,2056.4443181818183,True,True,Uncertain
2025-2,Tags 1,14,1573.0,1582.9792857142857,1308.8165584415583,1857.142012987013,1199.2120129870127,1966.7465584415586,True,True,Uncertain
2025-2,Tags 2,14,1599.0,1588.9792857142857,1314.8165584415583,1863.142012987013,1205.2120129870127,1972.7465584415586,True,True,Uncertain
2025-2,Tags 3,14,1544.0,1588.9792857142857,1314.8165584415583,1863.142012987013,1205.2120129870127,1972.7465584415586,True,True,Uncertain
2025-2,Tags 1,21,1573.0,1526.8078571428573,1314.8796753246756,1738.736038961039,1223.781493506494,1829.8342207792207,True,True,Likely below
2025-2,Tags 2,21,1599.0,1645.8078571428573,1433.8796753246756,1857.736038961039,1342.781493506494,1948.8342207792207,True,True,Uncertain
2025-2,Tags 3,21,1544.0,1657.8078571428573,1445.8796753246756,1869.736038961039,1354.781493506494,1960.8342207792207,True,True,Uncertain
2025-2,Tags 1,28,1573.0,1879.517857142857,1699.676948051948,2059.358766233766,1665.5842207792207,2093.4514935064935,False,False,Uncertain
2025-2,Tags 2,28,1599.0,1821.517857142857,1641.676948051948,2001.3587662337661,1607.5842207792207,2035.4514935064935,False,False,Uncertain
2025-2,Tags 3,28,1544.0,1664.517857142857,1484.676948051948,1844.3587662337661,1450.5842207792207,1878.4514935064935,True,True,Uncertain
2025-3,Lags 1,7,1479.9999999999998,1487.618846153846,1154.821346153846,1820.4163461538462,961.8988461538459,2013.3388461538464,True,True,Uncertain
2025-3,Lags 2,7,1554.0,1484.618846153846,1151.821346153846,1817.4163461538462,958.8988461538459,2010.3388461538464,True,True,Uncertain
2025-3,Tags 1,7,1477.24,1513.618846153846,1180.821346153846,1846.4163461538462,987.8988461538459,2039.3388461538464,True,True,Uncertain
2025-3,Tags 2,7,1490.24,1512.618846153846,1179.821346153846,1845.4163461538462,986.8988461538459,2038.3388461538464,True,True,Uncertain
2025-3,Tags 3,7,1582.1,1515.618846153846,1182.821346153846,1848.4163461538462,989.8988461538459,2041.3388461538464,True,True,Uncertain
2025-3,Lags 1,14,1479.9999999999998,1498.6042307692308,1221.3897307692307,1775.8187307692308,1109.2247307692305,1887.983730769231,True,True,Likely below
2025-3,Lags 2,14,1554.0,1453.1042307692308,1175.8897307692307,1730.3187307692308,1063.7247307692305,1842.483730769231,True,True,Likely below
2025-3,Tags 1,14,1477.24,1520.6842307692307,1243.4697307692306,1797.8987307692307,1131.3047307692304,1910.063730769231,True,True,Likely below
2025-3,Tags 2,14,1490.24,1538.6642307692307,1261.4497307692307,1815.8787307692307,1149.2847307692305,1928.043730769231,True,True,Uncertain
2025-3,Tags 3,14,1582.1,1559.3342307692308,1282.1197307692307,1836.5487307692308,1169.9547307692305,1948.713730769231,True,True,Uncertain
2025-3,Lags 1,21,1479.9999999999998,1425.7742307692308,1222.0177307692309,1629.5307307692308,1111.164730769231,1740.3837307692306,True,True,Likely below
2025-3,Lags 2,21,1554.0,1392.7742307692308,1189.0177307692309,1596.5307307692308,1078.164730769231,1707.3837307692306,True,True,Likely below
2025-3,Tags 1,21,1477.24,1567.2842307692308,1363.5277307692309,1771.0407307692308,1252.674730769231,1881.8937307692306,True,True,Likely below
2025-3,Tags 2,21,1490.24,1549.4442307692307,1345.6877307692307,1753.2007307692306,1234.8347307692309,1864.0537307692305,True,True,Likely below
2025-3,Tags 3,21,1582.1,1513.684230769231,1309.927730769231,1717.4407307692309,1199.074730769231,1828.2937307692307,True,True,Likely below
2025-3,Lags 1,28,1479.9999999999998,1382.7615384615385,1173.8015384615385,1591.7215384615386,1072.5963210702341,1692.926755852843,True,True,Likely below
2025-3,Lags 2,28,1554.0,1442.7615384615383,1233.8015384615383,1651.7215384615383,1132.596321070234,1752.9267558528427,True,True,Likely below
2025-3,Tags 1,28,1477.24,1573.5615384615385,1364.6015384615384,1782.5215384615385,1263.396321070234,1883.7267558528429,True,True,Likely below
2025-3,Tags 2,28,1490.24,1621.4015384615386,1412.4415384615386,1830.3615384615387,1311.2363210702342,1931.566755852843,True,True,Uncertain
2025-3,Tags 3,28,1582.1,1538.2015384615386,1329.2415384615385,1747.1615384615386,1228.0363210702342,1848.366755852843,True,True,Likely below
2025-4,Lags 1,7,1568.0,1492.7003846153846,1153.2968846153844,1832.1038846153847,973.5863846153843,2011.8143846153848,True,True,Uncertain
2025-4,Lags 2,7,1594.0,1492.7003846153846,1153.2968846153844,1832.1038846153847,973.5863846153843,2011.8143846153848,True,True,Uncertain
2025-4,Tags 1,7,1441.5,1482.0003846153845,1142.5968846153844,1821.4038846153846,962.8863846153843,2001.1143846153848,True,True,Uncertain
2025-4,Tags 2,7,1450.0400000000002,1485.3003846153845,1145.8968846153844,1824.7038846153846,966.1863846153842,2004.4143846153847,True,True,Uncertain
2025-4,Tags 3,7,1293.1200000000001,1482.0003846153845,1142.5968846153844,1821.4038846153846,962.8863846153843,2001.1143846153848,True,True,Uncertain
2025-4,Lags 1,14,1568.0,1481.3961538461538,1208.4611538461538,1754.3311538461537,1096.2961538461536,1866.496153846154,True,True,Likely below
2025-4,Lags 2,14,1594.0,1489.3961538461538,1216.4611538461538,1762.3311538461537,1104.2961538461536,1874.496153846154,True,True,Likely below
2025-4,Tags 1,14,1441.5,1462.1961538461537,1189.2611538461538,1735.1311538461537,1077.0961538461536,1847.2961538461539,True,True,Likely below
2025-4,Tags 2,14,1450.0400000000002,1501.8961538461538,1228.9611538461538,1774.8311538461537,1116.7961538461536,1886.996153846154,True,True,Likely below
2025-4,Tags 3,14,1293.1200000000001,1500.6361538461538,1227.7011538461538,1773.5711538461537,1115.5361538461536,1885.736153846154,True,True,Likely below
2025-4,Lags 1,21,1568.0,1559.6157692307693,1343.0652692307692,1776.1662692307693,1257.8002692307693,1861.4312692307692,True,True,Likely below
2025-4,Lags 2,21,1594.0,1568.6157692307693,1352.0652692307692,1785.1662692307693,1266.8002692307693,1870.4312692307692,True,True,Likely below
2025-4,Tags 1,21,1441.5,1434.4857692307692,1217.935269230769,1651.0362692307692,1132.6702692307692,1736.301269230769,True,True,Likely below
2025-4,Tags 2,21,1450.0400000000002,1485.2357692307694,1268.6852692307693,1701.7862692307694,1183.4202692307695,1787.0512692307693,True,True,Likely below
2025-4,Tags 3,21,1293.1200000000001,1469.1757692307692,1252.6252692307692,1685.7262692307693,1167.3602692307693,1770.9912692307691,True,True,Likely below
2025-4,Lags 1,28,1568.0,1642.2230769230769,1427.3630769230767,1857.083076923077,1337.1882943143812,1947.2578595317725,True,True,Uncertain
2025-4,Lags 2,28,1594.0,1680.2230769230769,1465.3630769230767,1895.083076923077,1375.1882943143812,1985.2578595317725,True,True,Uncertain
2025-4,Tags 1,28,1441.5,1253.0430769230766,1038.1830769230764,1467.9030769230767,948.0082943143809,1558.0778595317722,True,True,Likely below
2025-4,Tags 2,28,1450.0400000000002,1292.4030769230767,1077.5430769230766,1507.2630769230768,987.368294314381,1597.4378595317723,True,True,Likely below
2025-4,Tags 3,28,1293.1200000000001,1313.183076923077,1098.3230769230768,1528.043076923077,1008.1482943143812,1618.2178595317725,True,True,Likely below
