cycle_id,building_id,review_day,actual_g,predicted_g,lower_80_g,upper_80_g,lower_90_g,upper_90_g,covered_80,covered_90,target_status_80
2025-2,Tags 1,7,1573.0,1551.558955141735,1269.6942773689855,1833.4236329144844,1109.006001017356,1994.1119092661138,True,True,Uncertain
2025-2,Tags 2,7,1599.0,1554.718084599945,1272.8534068271956,1836.5827623726946,1112.1651304755662,1997.271038724324,True,True,Uncertain
2025-2,Tags 3,7,1544.0,1548.3946148475122,1266.5299370747628,1830.2592926202617,1105.8416607231334,1990.947568971891,True,True,Uncertain
2025-2,Tags 1,14,1573.0,1594.187710495143,1321.406848720649,1866.968572269637,1149.0194892868517,2039.3559317034342,True,True,Uncertain
2025-2,Tags 2,14,1599.0,1597.2530365148646,1324.4721747403705,1870.0338982893586,1152.0848153065733,2042.4212577231558,True,True,Uncertain
2025-2,Tags 3,14,1544.0,1594.4503676115453,1321.6695058370512,1867.2312293860393,1149.282146403254,2039.6185888198365,True,True,Uncertain
2025-2,Tags 1,21,1573.0,1551.5628597743955,1304.573311159842,1798.552408388949,1124.522294108135,1978.603425440656,True,True,Likely below
2025-2,Tags 2,21,1599.0,1567.4365476797639,1320.4469990652103,1814.4260962943174,1140.3959820135033,1994.4771133460245,True,True,Uncertain
2025-2,Tags 3,21,1544.0,1578.8787743691587,1331.8892257546051,1825.8683229837122,1151.838208702898,2005.9193400354193,True,True,Uncertain
2025-2,Tags 1,28,1573.0,1662.519857895624,1457.0256760307668,1868.0140397604812,1281.8850889699215,2043.1546268213265,True,True,Uncertain
2025-2,Tags 2,28,1599.0,1658.3381068638778,1452.8439249990206,1863.832288728735,1277.7033379381753,2038.9728757895803,True,True,Uncertain
2025-2,Tags 3,28,1544.0,1546.0895704929676,1340.5953886281104,1751.5837523578248,1165.4548015672651,1926.72433941867,True,True,Likely below
2025-3,Lags 1,7,1479.9999999999998,1482.41448005894,1190.3072276184182,1774.5217324994617,1035.5185193643142,1929.3104407535657,True,True,Likely below
2025-3,Lags 2,7,1554.0,1474.6306988210256,1182.5234463805039,1766.7379512615473,1027.7347381263999,1921.5266595156513,True,True,Likely below
2025-3,Tags 1,7,1477.24,1552.4347845994628,1260.327532158941,1844.5420370399845,1105.538823904837,1999.3307452940885,True,True,Uncertain
2025-3,Tags 2,7,1490.24,1572.8482233370169,1280.7409708964951,1864.9554757775386,1125.9522626423911,2019.7441840316426,True,True,Uncertain
2025-3,Tags 3,7,1582.1,1552.7765298808474,1260.6692774403257,1844.8837823213692,1105.8805691862217,1999.6724905754731,True,True,Uncertain
2025-3,Lags 1,14,1479.9999999999998,1556.56911080758,1256.1118909717957,1857.0263306433644,1138.147476877252,1974.990744737908,True,True,Uncertain
2025-3,Lags 2,14,1554.0,1460.241577446482,1159.7843576106977,1760.6987972822665,1041.8199435161541,1878.66321137681,True,True,Likely below
2025-3,Tags 1,14,1477.24,1581.833291641932,1281.3760718061476,1882.2905114777163,1163.411657711604,2000.25492557226,True,True,Uncertain
2025-3,Tags 2,14,1490.24,1586.1422463413057,1285.6850265055214,1886.59946617709,1167.7206124109778,2004.5638802716337,True,True,Uncertain
2025-3,Tags 3,14,1582.1,1600.2824317873535,1299.8252119515691,1900.739651623138,1181.8607978570255,2018.7040657176815,True,True,Uncertain
2025-3,Lags 1,21,1479.9999999999998,1512.549869896932,1249.8246937811975,1775.2750460126665,1105.7364229338953,1919.3633168599688,True,True,Likely below
2025-3,Lags 2,21,1554.0,1508.265012769572,1245.5398366538375,1770.9901888853065,1101.4515658065352,1915.0784597326087,True,True,Likely below
2025-3,Tags 1,21,1477.24,1579.5180434313747,1316.7928673156403,1842.2432195471092,1172.704596468338,1986.3314903944115,True,True,Uncertain
2025-3,Tags 2,21,1490.24,1573.4332220177882,1310.7080459020538,1836.1583981335227,1166.6197750547515,1980.246668980825,True,True,Uncertain
2025-3,Tags 3,21,1582.1,1563.7491570337204,1301.023980917986,1826.4743331494549,1156.9357100706836,1970.5626039967572,True,True,Uncertain
2025-3,Lags 1,28,1479.9999999999998,1452.2318412622094,1232.500588480269,1671.9630940441498,1087.5349588781107,1816.928723646308,True,True,Likely below
