candidate,family,target_form,feature_set,complexity,description,rows,independent_building_cycles,rmse_g,cycle_macro_rmse_g,mae_g,cycle_macro_mae_g,r2,bias_g,within_100g_rate,within_200g_rate,worst_cycle_rmse_g,fold_rmse_sd_g,fold_rmse_se_g,target_side_accuracy,majority_side_accuracy,below_target_recall,at_or_above_target_recall,actual_target_hits,rmse_95ci_low_g,rmse_95ci_high_g,r2_95ci_low,r2_95ci_high,rank
direct_extra_trees_growth,extra_trees,direct,compact,5,Extra Trees restricted to growth and flock-state features,124,31,165.70547777136983,140.50189943475257,127.88626753693084,117.12705295744856,0.29492337503479915,9.172648115744787,0.5,0.7741935483870968,215.32497634573048,74.1887235987642,30.287419580891537,0.967741935483871,0.967741935483871,1.0,0.0,1,107.54674829169721,198.80112832571538,-0.3070221910239799,0.43792452031860385,1
remaining_trajectory_ridge,ridge,remaining,trajectory,3,Regularized remaining-gain regression on the observed trajectory,124,31,161.9674263769344,146.97712565161146,128.44048000235594,122.17616055710904,0.3263753835784179,7.761182635453255,0.46774193548387094,0.7741935483870968,203.03114020276885,54.18925250704546,22.122669697515914,0.9838709677419355,0.967741935483871,1.0,0.5,1,116.1781273447617,190.29260870078875,-0.3169010493653197,0.38220827371405564,2
historical_remaining_gain,baseline,remaining,current,0,Naive projection: current weight plus fold-local expected remaining growth,124,31,163.90887260176706,149.9082719395848,127.1208997429989,120.92760425824173,0.31012959760018166,-0.6461027915633306,0.5080645161290323,0.7580645161290323,203.1370166198503,53.93536909361507,22.019022228005827,0.9596774193548387,0.967741935483871,0.9833333333333333,0.25,1,118.33627181259028,193.32885526310793,-0.3901534100613022,0.36779025750003425,3
recent_adg_projection,recent_adg,direct,compact,1,Naive projection: blend recent observed ADG with fold-local expected remaining daily gain,124,31,163.90887260176706,149.9082719395848,127.12089974299892,120.92760425824173,0.31012959760018166,-0.6461027915632701,0.5080645161290323,0.7580645161290323,203.1370166198503,53.93536909361509,22.019022228005834,0.9596774193548387,0.967741935483871,0.9833333333333333,0.25,1,118.3362718125903,193.32885526310795,-0.39015341006130155,0.36779025750003413,4
blend_baseline_pls,blend,direct,trajectory,3,Fold-tuned blend of remaining-gain baseline and trajectory PLS,124,31,163.84989603219796,149.9193673109897,129.38612737219475,123.89832869272554,0.31062595718611297,3.544935027509085,0.47580645161290325,0.7741935483870968,205.697844161427,54.64653903792981,22.3093561420016,0.9596774193548387,0.967741935483871,0.9833333333333333,0.25,1,117.41274625603532,193.97042846068695,-0.4077853545534851,0.36510326404485527,5
