candidate,family,target_form,feature_set,complexity,description,rows,independent_building_cycles,rmse_g,cycle_macro_rmse_g,mae_g,cycle_macro_mae_g,r2,bias_g,within_100g_rate,within_200g_rate,worst_cycle_rmse_g,fold_rmse_sd_g,fold_rmse_se_g,target_side_accuracy,majority_side_accuracy,below_target_recall,at_or_above_target_recall,actual_target_hits,rmse_95ci_low_g,rmse_95ci_high_g,r2_95ci_low,r2_95ci_high,rank
historical_remaining_gain,baseline,remaining,current,0,Naive projection: current weight plus fold-local expected remaining growth,124,31,163.90887260176706,149.9082719395848,127.1208997429989,120.92760425824173,0.31012959760018166,-0.6461027915633306,0.5080645161290323,0.7580645161290323,203.1370166198503,53.93536909361507,22.019022228005827,0.9596774193548387,0.967741935483871,0.9833333333333333,0.25,1,118.33627181259028,193.32885526310793,-0.3901534100613022,0.36779025750003425,3
recent_adg_projection,recent_adg,direct,compact,1,Naive projection: blend recent observed ADG with fold-local expected remaining daily gain,124,31,163.90887260176706,149.9082719395848,127.12089974299892,120.92760425824173,0.31012959760018166,-0.6461027915632701,0.5080645161290323,0.7580645161290323,203.1370166198503,53.93536909361509,22.019022228005834,0.9596774193548387,0.967741935483871,0.9833333333333333,0.25,1,118.3362718125903,193.32885526310795,-0.39015341006130155,0.36779025750003413,4
target_gap_preserving,target_gain,direct,current,0,Naive projection: add the farm target curve's remaining gain while preserving today's target deficit,124,31,219.00104783406712,211.1023699851397,172.14782258064514,172.03019444444445,-0.23155829025075847,130.23217741935485,0.3548387096774194,0.6612903225806451,291.0627766837136,48.899469639134594,19.963124884766273,0.967741935483871,0.967741935483871,0.9833333333333333,0.5,1,175.57131906809366,256.84774494500306,-1.676880743958308,0.08373532982996268,29
historical_growth_ratio,historical_ratio,direct,current,0,Naive projection: current weight multiplied by the fold-local historical checkpoint-to-Day-35 ratio,124,31,270.646776163011,270.0197712080528,223.94596938247722,241.7867503613885,-0.8809112460084376,44.04035107252886,0.23387096774193547,0.5,487.5597954267222,121.19705130557695,49.47848900476289,0.8225806451612904,0.967741935483871,0.825,0.75,1,195.05618434138208,354.30547897858196,-7.283770567455683,0.12149780764739748,30
target_curve_pace,pace,direct,current,1,Current target-relative pace projected to Day 35,124,31,339.489302482034,320.99797231972724,284.363993183861,271.2339519263846,-1.9594756727630998,-246.31512071806648,0.1935483870967742,0.41935483870967744,415.1408259354463,76.91949531136193,31.402252464206637,0.967741935483871,0.967741935483871,0.9833333333333333,0.5,1,287.64449916142615,379.68130906181227,-6.664923756380345,-1.1753536288903481,31
