review_day,cycle_id,building_id,role,feature,feature_value,shap_value_g,base_value_g
7,2025-5,Tags 2,development,current_weight_g,105.0,14.900035488556114,1512.6118884198881
7,2025-4,Tags 1,development,current_weight_g,90.3,-47.27690719490738,1512.6118884198881
7,2025-4,Lags 2,development,current_weight_g,101.00000000000001,2.3973069591951344,1512.6118884198881
7,2026-1,Lags 1,development,current_weight_g,103.5,9.901465594415072,1512.6118884198881
7,2025-5,Tags 3,development,current_weight_g,106.0,16.229623313402385,1512.6118884198881
7,2025-5,Tags 1,development,current_weight_g,108.0,14.81879464637359,1512.6118884198881
7,2026-2,Tags 3,development,current_weight_g,108.61999999999999,14.16652023384529,1512.6118884198881
7,2025-3,Tags 1,development,current_weight_g,127.0,8.642086390261738,1512.6118884198881
7,2026-1,Lags 2,development,current_weight_g,107.50000000000001,16.494688913656546,1512.6118884198881
7,2026-2,Lags 3,development,current_weight_g,73.50000000000001,-50.27361434479849,1512.6118884198881
7,2026-2,Lags 2,development,current_weight_g,101.5,2.277259870090006,1512.6118884198881
7,2025-2,Tags 3,development,current_weight_g,148.0,12.277598973245176,1512.6118884198881
7,2026-3,Tags 1,later_cycle_audit,current_weight_g,114.74000000000001,9.69868041731229,1512.6118884198881
7,2026-3,Tags 2,later_cycle_audit,current_weight_g,114.74000000000001,9.372864994658585,1512.6118884198881
7,2026-3,Tags 3,later_cycle_audit,current_weight_g,114.74000000000001,9.445190550213852,1512.6118884198881
7,2025-5,Tags 2,development,current_ratio_to_target,0.6176470588235294,11.275693119239122,1512.6118884198881
7,2025-4,Tags 1,development,current_ratio_to_target,0.5311764705882352,-36.17935151209849,1512.6118884198881
7,2025-4,Lags 2,development,current_ratio_to_target,0.5941176470588236,-1.6824925262349097,1512.6118884198881
7,2026-1,Lags 1,development,current_ratio_to_target,0.6088235294117647,4.592779664006343,1512.6118884198881
7,2025-5,Tags 3,development,current_ratio_to_target,0.6235294117647059,12.540424089356975,1512.6118884198881
7,2025-5,Tags 1,development,current_ratio_to_target,0.6352941176470588,13.066831844112812,1512.6118884198881
7,2026-2,Tags 3,development,current_ratio_to_target,0.6389411764705881,12.32950747712971,1512.6118884198881
7,2025-3,Tags 1,development,current_ratio_to_target,0.7470588235294118,9.714977262373395,1512.6118884198881
7,2026-1,Lags 2,development,current_ratio_to_target,0.6323529411764707,13.661237073942743,1512.6118884198881
7,2026-2,Lags 3,development,current_ratio_to_target,0.43235294117647066,-39.31960649182713,1512.6118884198881
7,2026-2,Lags 2,development,current_ratio_to_target,0.5970588235294118,-0.5335837202911762,1512.6118884198881
7,2025-2,Tags 3,development,current_ratio_to_target,0.8705882352941177,13.442224904161094,1512.6118884198881
7,2026-3,Tags 1,later_cycle_audit,current_ratio_to_target,0.6749411764705883,10.205745179737391,1512.6118884198881
7,2026-3,Tags 2,later_cycle_audit,current_ratio_to_target,0.6749411764705883,9.433015446431682,1512.6118884198881
7,2026-3,Tags 3,later_cycle_audit,current_ratio_to_target,0.6749411764705883,9.416321165385853,1512.6118884198881
7,2025-5,Tags 2,development,ratio_day7,0.6176470588235294,11.985408514333812,1512.6118884198881
7,2025-4,Tags 1,development,ratio_day7,0.5311764705882352,-37.621506237788026,1512.6118884198881
7,2025-4,Lags 2,development,ratio_day7,0.5941176470588236,-2.0253576673160296,1512.6118884198881
7,2026-1,Lags 1,development,ratio_day7,0.6088235294117647,5.648942340379676,1512.6118884198881
7,2025-5,Tags 3,development,ratio_day7,0.6235294117647059,12.546321829019234,1512.6118884198881
7,2025-5,Tags 1,development,ratio_day7,0.6352941176470588,12.972395332387919,1512.6118884198881
7,2026-2,Tags 3,development,ratio_day7,0.6389411764705881,12.814664794769783,1512.6118884198881
7,2025-3,Tags 1,development,ratio_day7,0.7470588235294118,7.6915642058032745,1512.6118884198881
7,2026-1,Lags 2,development,ratio_day7,0.6323529411764707,14.54450476356044,1512.6118884198881
7,2026-2,Lags 3,development,ratio_day7,0.43235294117647066,-38.55693787515031,1512.6118884198881
7,2026-2,Lags 2,development,ratio_day7,0.5970588235294118,-1.4154292365526544,1512.6118884198881
7,2025-2,Tags 3,development,ratio_day7,0.8705882352941177,9.772694541920373,1512.6118884198881
7,2026-3,Tags 1,later_cycle_audit,ratio_day7,0.6749411764705883,9.719103519655846,1512.6118884198881
7,2026-3,Tags 2,later_cycle_audit,ratio_day7,0.6749411764705883,10.030668036676161,1512.6118884198881
7,2026-3,Tags 3,later_cycle_audit,ratio_day7,0.6749411764705883,10.053288036676008,1512.6118884198881
7,2025-5,Tags 2,development,last_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2025-4,Tags 1,development,last_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2025-4,Lags 2,development,last_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2026-1,Lags 1,development,last_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2025-5,Tags 3,development,last_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2025-5,Tags 1,development,last_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2026-2,Tags 3,development,last_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2025-3,Tags 1,development,last_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2026-1,Lags 2,development,last_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2026-2,Lags 3,development,last_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2026-2,Lags 2,development,last_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2025-2,Tags 3,development,last_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2026-3,Tags 1,later_cycle_audit,last_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2026-3,Tags 2,later_cycle_audit,last_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2026-3,Tags 3,later_cycle_audit,last_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2025-5,Tags 2,development,prior_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2025-4,Tags 1,development,prior_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2025-4,Lags 2,development,prior_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2026-1,Lags 1,development,prior_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2025-5,Tags 3,development,prior_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2025-5,Tags 1,development,prior_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2026-2,Tags 3,development,prior_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2025-3,Tags 1,development,prior_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2026-1,Lags 2,development,prior_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2026-2,Lags 3,development,prior_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2026-2,Lags 2,development,prior_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2025-2,Tags 3,development,prior_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2026-3,Tags 1,later_cycle_audit,prior_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2026-3,Tags 2,later_cycle_audit,prior_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2026-3,Tags 3,later_cycle_audit,prior_interval_adg_g_day,0.0,0.0,1512.6118884198881
7,2025-5,Tags 2,development,adg_acceleration_g_day2,0.0,0.0,1512.6118884198881
7,2025-4,Tags 1,development,adg_acceleration_g_day2,0.0,0.0,1512.6118884198881
