review_day,rows,independent_building_cycles,rmse_g,cycle_macro_rmse_g,mae_g,cycle_macro_mae_g,r2,bias_g,within_100g_rate,within_200g_rate,worst_cycle_rmse_g,fold_rmse_sd_g,fold_rmse_se_g,target_side_accuracy,majority_side_accuracy,below_target_recall,at_or_above_target_recall,actual_target_hits
7,31,31,204.74177416875114,163.653065783173,155.4504945409429,140.80010213675214,-0.07640451582384666,0.444995285359629,0.4838709677419355,0.6451612903225806,269.13033328625977,108.80366757252959,44.41891128268366,0.967741935483871,0.967741935483871,1.0,0.0,1
14,31,31,173.98556046812925,141.71129483267893,138.0609958170861,124.6097842490842,0.2226994061662545,-0.2715941864587348,0.4838709677419355,0.6451612903225806,225.69755267815083,88.25114358475234,36.028378499956055,0.967741935483871,0.967741935483871,1.0,0.0,1
21,31,31,138.31136612750194,123.97602128187094,112.20029216589859,106.16796984126982,0.5087774125278297,-0.4891880184331527,0.4838709677419355,0.8709677419354839,188.29865955720447,49.20409201119707,20.087486447397826,0.967741935483871,0.967741935483871,1.0,0.0,1
28,31,31,127.06010675698487,129.3240261880174,102.77181644806805,112.1325608058608,0.5854460875304885,-2.268624246721064,0.5806451612903226,0.8709677419354839,229.48634482629828,52.014358543041006,21.23477295477092,0.9354838709677419,0.967741935483871,0.9333333333333333,1.0,1
