candidate,family,target_form,feature_set,complexity,description,rows,independent_building_cycles,rmse_g,cycle_macro_rmse_g,mae_g,cycle_macro_mae_g,r2,bias_g,within_100g_rate,within_200g_rate,worst_cycle_rmse_g,fold_rmse_sd_g,fold_rmse_se_g,target_side_accuracy,majority_side_accuracy,below_target_recall,at_or_above_target_recall,actual_target_hits,rmse_95ci_low_g,rmse_95ci_high_g,r2_95ci_low,r2_95ci_high,rank
direct_catboost_growth,catboost,direct,compact,7,Regularized CatBoost using observed growth and flock-state features,124,31,195.89055133916563,158.32774390819483,149.29059037827687,134.7294777763453,0.014652171965686245,20.996203432068533,0.5080645161290323,0.6370967741935484,273.0822066874106,101.27787217118855,41.34651817570538,0.967741935483871,0.967741935483871,1.0,0.0,1,120.8494593390808,240.34423554176865,-0.4561133639269346,0.18232133047580845,12
direct_lightgbm_growth,lightgbm,direct,compact,7,Regularized LightGBM using observed growth and flock-state features,124,31,200.93251916782722,163.41587065817677,154.03399104363868,139.12653216432645,-0.036723743065764314,13.641586950805394,0.4596774193548387,0.6451612903225806,280.3370056087427,102.04928036403723,41.661444251685666,0.967741935483871,0.967741935483871,1.0,0.0,1,126.62601324387941,247.11584947621986,-0.6023704835391196,0.17270842324412916,14
direct_xgboost_growth,xgboost,direct,compact,7,Regularized XGBoost using observed growth and flock-state features,124,31,200.77104090423344,164.58219258142205,154.99621428458917,140.7489987182617,-0.035058098478507826,13.324101286857358,0.4596774193548387,0.6370967741935484,285.03371822049724,99.77404961715767,40.73258518886127,0.967741935483871,0.967741935483871,1.0,0.0,1,125.91399242121547,248.9567324567447,-0.5985000302299951,0.1854664640757736,16
direct_catboost_poultry,catboost,direct,poultry_core,8,Regularized CatBoost using compact poultry-environment features,124,31,203.1983896801651,165.40346525536603,153.72099800884996,139.29548582010074,-0.0602373764002726,25.705836176760933,0.47580645161290325,0.6290322580645161,282.00265824376277,103.04467413245798,42.067812055981825,0.967741935483871,0.967741935483871,1.0,0.0,1,126.55317224184493,251.15144729534074,-0.5480453647854597,0.06902254817095178,18
direct_xgboost_poultry,xgboost,direct,poultry_core,8,Regularized XGBoost using compact poultry-environment features,124,31,204.37403445946546,165.79202009964914,156.99458074754278,141.74307692464188,-0.07254129639746165,14.897081613848286,0.45161290322580644,0.6370967741935484,284.3090927818554,104.51457873834349,42.66789809847954,0.967741935483871,0.967741935483871,1.0,0.0,1,128.068414554694,250.77317315870872,-0.6174111243224901,0.11067379799612014,19
direct_lightgbm_poultry,lightgbm,direct,poultry_core,8,Regularized LightGBM using compact poultry-environment features,124,31,206.8736697915442,167.8408193003198,158.3788913751853,142.97450832247986,-0.09893757647462498,15.735821261552518,0.45161290322580644,0.6451612903225806,285.05264097123774,105.78484260603656,43.18648115090325,0.967741935483871,0.967741935483871,1.0,0.0,1,130.48049978752323,254.02176685653782,-0.6410745261144535,0.0695016290478203,23
