candidate,family,cycle_id,building_id,review_day,as_of_date,actual_g,predicted_g,error_g
target_gap_preserving,target_gain,2026-1,Lags 1,14,2026-03-19,1605.9999999999998,1719.48,113.48000000000025
target_gap_preserving,target_gain,2026-1,Lags 2,14,2026-03-27,1972.0000000000002,1795.0,-177.00000000000023
target_gap_preserving,target_gain,2026-1,Lags 3,14,2026-04-03,1691.4399999999998,1629.5,-61.93999999999983
target_gap_preserving,target_gain,2026-1,Tags 1,14,2026-02-13,1446.68,1744.96,298.28
target_gap_preserving,target_gain,2026-1,Tags 2,14,2026-02-13,1550.16,1701.0,150.83999999999992
target_gap_preserving,target_gain,2026-1,Tags 3,14,2026-02-13,1691.4399999999998,1719.48,28.04000000000019
target_gap_preserving,target_gain,2026-2,Lags 1,14,2026-06-15,1192.0,1629.5,437.5
target_gap_preserving,target_gain,2026-2,Lags 2,14,2026-06-23,1204.0,1592.5,388.5
target_gap_preserving,target_gain,2026-2,Lags 3,14,2026-06-29,1078.0,1557.0,479.0
target_gap_preserving,target_gain,2026-2,Tags 1,14,2026-05-02,1360.0,1662.76,302.76
target_gap_preserving,target_gain,2026-2,Tags 2,14,2026-05-02,1556.2800000000002,1656.84,100.55999999999972
target_gap_preserving,target_gain,2026-2,Tags 3,14,2026-05-02,1564.0,1661.39,97.3900000000001
direct_extra_trees_growth,extra_trees,2025-2,Tags 1,14,2025-04-11,1573.0,1594.187710495143,21.187710495142937
direct_extra_trees_growth,extra_trees,2025-2,Tags 2,14,2025-04-11,1599.0,1597.2530365148646,-1.7469634851354385
direct_extra_trees_growth,extra_trees,2025-2,Tags 3,14,2025-04-11,1544.0,1594.4503676115453,50.45036761154529
direct_extra_trees_growth,extra_trees,2025-3,Lags 1,14,2025-07-23,1479.9999999999998,1556.56911080758,76.56911080758027
direct_extra_trees_growth,extra_trees,2025-3,Lags 2,14,2025-07-29,1554.0,1460.241577446482,-93.7584225535179
direct_extra_trees_growth,extra_trees,2025-3,Tags 1,14,2025-06-27,1477.24,1581.833291641932,104.59329164193196
direct_extra_trees_growth,extra_trees,2025-3,Tags 2,14,2025-06-27,1490.24,1586.1422463413057,95.90224634130573
direct_extra_trees_growth,extra_trees,2025-3,Tags 3,14,2025-06-27,1582.1,1600.2824317873535,18.182431787353607
direct_extra_trees_growth,extra_trees,2025-4,Lags 1,14,2025-10-10,1568.0,1561.9825400664295,-6.017459933570535
direct_extra_trees_growth,extra_trees,2025-4,Lags 2,14,2025-10-10,1594.0,1570.6875191970203,-23.312480802979735
direct_extra_trees_growth,extra_trees,2025-4,Tags 1,14,2025-09-09,1441.5,1505.8467134605685,64.34671346056848
direct_extra_trees_growth,extra_trees,2025-4,Tags 2,14,2025-09-09,1450.0400000000002,1575.3388898480207,125.29888984802051
direct_extra_trees_growth,extra_trees,2025-4,Tags 3,14,2025-09-09,1293.1200000000001,1567.0634737692844,273.9434737692843
direct_extra_trees_growth,extra_trees,2025-5,Lags 1,14,2025-12-24,1306.0,1420.7651452476327,114.76514524763274
direct_extra_trees_growth,extra_trees,2025-5,Lags 2,14,2025-12-31,1176.0,1145.379777777778,-30.620222222222083
direct_extra_trees_growth,extra_trees,2025-5,Lags 3,14,2026-01-09,1182.0,1160.0128667267916,-21.98713327320843
direct_extra_trees_growth,extra_trees,2025-5,Tags 1,14,2025-11-25,1702.0,1479.628405774363,-222.37159422563695
direct_extra_trees_growth,extra_trees,2025-5,Tags 2,14,2025-11-25,1776.0,1487.238630403993,-288.76136959600694
direct_extra_trees_growth,extra_trees,2025-5,Tags 3,14,2025-11-25,1738.0,1478.4969614357385,-259.5030385642615
direct_extra_trees_growth,extra_trees,2026-1,Lags 1,14,2026-03-19,1605.9999999999998,1530.2882153992364,-75.7117846007634
direct_extra_trees_growth,extra_trees,2026-1,Lags 2,14,2026-03-27,1972.0000000000002,1539.7625385176484,-432.2374614823518
direct_extra_trees_growth,extra_trees,2026-1,Lags 3,14,2026-04-03,1691.4399999999998,1376.3597119566164,-315.08028804338346
direct_extra_trees_growth,extra_trees,2026-1,Tags 1,14,2026-02-13,1446.68,1542.5489647947047,95.86896479470465
direct_extra_trees_growth,extra_trees,2026-1,Tags 2,14,2026-02-13,1550.16,1541.382391570641,-8.777608429359134
direct_extra_trees_growth,extra_trees,2026-1,Tags 3,14,2026-02-13,1691.4399999999998,1544.0053592038573,-147.4346407961425
direct_extra_trees_growth,extra_trees,2026-2,Lags 1,14,2026-06-15,1192.0,1570.6634996919117,378.66349969191174
direct_extra_trees_growth,extra_trees,2026-2,Lags 2,14,2026-06-23,1204.0,1366.0140312131255,162.01403121312546
direct_extra_trees_growth,extra_trees,2026-2,Lags 3,14,2026-06-29,1078.0,1213.370777777777,135.370777777777
direct_extra_trees_growth,extra_trees,2026-2,Tags 1,14,2026-05-02,1360.0,1617.213575769291,257.2135757692911
direct_extra_trees_growth,extra_trees,2026-2,Tags 2,14,2026-05-02,1556.2800000000002,1640.3161770250704,84.03617702507017
direct_extra_trees_growth,extra_trees,2026-2,Tags 3,14,2026-05-02,1564.0,1638.108424578813,74.1084245788129
direct_catboost_growth,catboost,2025-2,Tags 1,14,2025-04-11,1573.0,1543.8212282333989,-29.17877176660113
direct_catboost_growth,catboost,2025-2,Tags 2,14,2025-04-11,1599.0,1543.8212282333989,-55.17877176660113
direct_catboost_growth,catboost,2025-2,Tags 3,14,2025-04-11,1544.0,1543.8212282333989,-0.17877176660113037
direct_catboost_growth,catboost,2025-3,Lags 1,14,2025-07-23,1479.9999999999998,1531.5166471913074,51.516647191307584
direct_catboost_growth,catboost,2025-3,Lags 2,14,2025-07-29,1554.0,1455.1228398876715,-98.87716011232851
direct_catboost_growth,catboost,2025-3,Tags 1,14,2025-06-27,1477.24,1556.8843904582784,79.6443904582784
direct_catboost_growth,catboost,2025-3,Tags 2,14,2025-06-27,1490.24,1556.8843904582784,66.6443904582784
direct_catboost_growth,catboost,2025-3,Tags 3,14,2025-06-27,1582.1,1556.8843904582784,-25.215609541721506
direct_catboost_growth,catboost,2025-4,Lags 1,14,2025-10-10,1568.0,1539.9726498952139,-28.027350104786137
direct_catboost_growth,catboost,2025-4,Lags 2,14,2025-10-10,1594.0,1539.9726498952139,-54.02735010478614
direct_catboost_growth,catboost,2025-4,Tags 1,14,2025-09-09,1441.5,1529.3388394025533,87.83883940255328
direct_catboost_growth,catboost,2025-4,Tags 2,14,2025-09-09,1450.0400000000002,1536.1838500667739,86.14385006677367
direct_catboost_growth,catboost,2025-4,Tags 3,14,2025-09-09,1293.1200000000001,1534.9417073198322,241.82170731983206
direct_catboost_growth,catboost,2025-5,Lags 1,14,2025-12-24,1306.0,1461.1656912193462,155.16569121934617
direct_catboost_growth,catboost,2025-5,Lags 2,14,2025-12-31,1176.0,1440.8839400778904,264.88394007789043
