held_out_cycle,review_day,calibration_rows,q80_g,q90_g,checkpoint_specific_reliable
2025-2,7,28,326.25136363636375,523.4918181818184,True
2025-2,14,28,274.16272727272735,383.76727272727294,True
2025-2,21,28,211.92818181818166,303.0263636363634,True
2025-2,28,28,179.840909090909,213.93363636363642,True
2025-3,7,26,332.7975000000001,525.7200000000003,True
2025-3,14,26,277.21450000000004,389.37950000000023,True
2025-3,21,26,203.75649999999996,314.6094999999998,True
2025-3,28,26,208.96000000000004,310.1652173913044,True
2025-4,7,26,339.4035000000001,519.1140000000003,True
2025-4,14,26,272.93499999999995,385.10000000000014,True
2025-4,21,26,216.55050000000006,301.81549999999993,True
2025-4,28,26,214.86000000000013,305.03478260869565,True
2025-5,7,25,340.94894736842116,522.6484210526319,True
2025-5,14,25,283.19684210526293,398.25684210526333,True
2025-5,21,25,179.44349999999986,327.4873684210522,True
2025-5,28,25,205.53999999999996,298.159090909091,True
2026-1,7,25,290.14842105263165,386.6600000000001,True
2026-1,14,25,268.2568421052631,314.2568421052631,True
2026-1,21,25,196.29999999999995,303.0473684210524,True
2026-1,28,25,195.66800000000012,307.13363636363647,True
2026-2,7,25,239.08349999999996,473.34000000000015,True
2026-2,14,25,245.7204999999999,351.3773684210528,True
2026-2,21,25,203.89999999999986,284.53999999999974,True
2026-2,28,25,209.00210526315777,311.9981818181818,True
