held_out_cycle,review_day,calibration_rows,q80_g,q90_g,checkpoint_specific_reliable
2025-2,7,28,281.8646777727495,442.55295412437886,True
2025-2,14,28,272.78086177449404,445.16822120829124,True
2025-2,21,28,246.98954861455354,427.0405656662606,True
2025-2,28,28,205.49418186485718,380.6347689257025,True
2025-3,7,26,292.10725244052173,446.8959606946257,True
2025-3,14,26,300.4572198357844,418.42163393032797,True
2025-3,21,26,262.7251761157345,406.81344696303677,True
2025-3,28,26,219.73125278194038,364.69688238409867,True
2025-4,7,26,313.4869197257374,468.1108767863482,True
2025-4,14,26,259.9570155269714,407.7855936017661,True
2025-4,21,26,234.84751166842307,398.5752574735425,True
2025-4,28,26,212.79062428571206,349.9919411111093,True
2025-5,7,25,362.33937401727644,498.8354336496136,True
2025-5,14,25,375.28442999999606,403.76728536833707,True
2025-5,21,25,355.3084002177402,431.4191252347621,True
2025-5,28,25,242.73864777777317,399.0302334920618,True
2026-1,7,25,302.1070961578466,371.8591618501887,True
2026-1,14,25,258.61962141821436,300.2351257424043,True
2026-1,21,25,224.95460869797012,272.8394005112507,True
2026-1,28,25,168.15270743201404,245.6551328064545,True
2026-2,7,25,200.14753080752416,383.75848018444253,True
2026-2,14,25,234.25531869648898,407.3737402419788,True
2026-2,21,25,260.2600361075956,396.3890065934095,True
2026-2,28,25,210.60697579365137,373.55608166666934,True
