cycle_id,building_id,measurement_day,prediction_day,validation_cycle,snapshot_role,actual_day35_weight_kg_y,remaining_gain_to_day35_kg_y,current_weight_kg,current_to_target_ratio,recent_adg_kg_day,has_recent_adg,cumulative_adg_kg_day,weight_day_7_kg,weight_day_14_kg,weight_day_21_kg,weight_day_28_kg,percentage_alive,mortality_recent_3d_per_1000,temperature_deviation_from_band_c,humidity_deviation_from_band_pp,environment_out_of_band_days_7d,environment_staleness_days
2025-2,Tags 1,7,35,2025-2,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.81,1.681,0.129,0.7588235294117647,,0,,0.129,,,,0.9782352941176471,2.2549019607843133,,,,
2025-2,Tags 1,14,35,2025-2,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.81,1.472,0.338,0.8894736842105264,0.02985714285714286,1,0.02985714285714286,0.129,0.338,,,0.9697058823529412,1.0294117647058825,,,,
2025-2,Tags 1,21,35,2025-2,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.81,1.134,0.676,0.845,0.048285714285714286,1,0.039071428571428576,0.129,0.338,0.676,,0.9589705882352941,1.4705882352941178,,,,
2025-2,Tags 1,28,35,2025-2,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.81,0.9700000000000001,0.84,0.7,0.023428571428571417,1,0.033857142857142856,0.129,0.338,0.676,0.84,0.9427941176470588,1.3235294117647058,,,,
2025-2,Tags 2,7,35,2025-2,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.81,1.681,0.129,0.7588235294117647,,0,,0.129,,,,0.9833823529411765,1.7647058823529411,,,,
2025-2,Tags 2,14,35,2025-2,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.81,1.469,0.341,0.8973684210526316,0.030285714285714287,1,0.030285714285714287,0.129,0.341,,,0.9741176470588235,1.2254901960784315,,,,
2025-2,Tags 2,21,35,2025-2,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.81,1.116,0.694,0.8674999999999999,0.05042857142857142,1,0.040357142857142855,0.129,0.341,0.694,,0.9644117647058823,1.2254901960784312,,,,
2025-2,Tags 2,28,35,2025-2,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.81,0.9700000000000001,0.84,0.7,0.02085714285714286,1,0.033857142857142856,0.129,0.341,0.694,0.84,0.9497058823529412,1.1764705882352942,,,,
2025-2,Tags 3,7,35,2025-2,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.81,1.681,0.129,0.7588235294117647,,0,,0.129,,,,0.9855882352941177,1.7156862745098038,,,,
2025-2,Tags 3,14,35,2025-2,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.81,1.3760000000000001,0.434,1.1421052631578947,0.04357142857142857,1,0.04357142857142857,0.129,0.434,,,0.9755882352941176,1.2745098039215683,,,,
2025-2,Tags 3,21,35,2025-2,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.81,1.153,0.657,0.82125,0.03185714285714286,1,0.037714285714285714,0.129,0.434,0.657,,0.9675,0.9803921568627451,,,,
2025-2,Tags 3,28,35,2025-2,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.81,0.9700000000000001,0.84,0.7,0.026142857142857134,1,0.033857142857142856,0.129,0.434,0.657,0.84,0.9555882352941176,0.8333333333333334,,,,
2025-3,Lags 1,7,35,2025-3,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.4799999999999998,1.3789999999999998,0.10100000000000002,0.5941176470588236,,0,,0.10100000000000002,,,,0.9863684960798289,2.108576859111428,3.199305555555533,6.5562499999999915,7,0
2025-3,Lags 1,14,35,2025-3,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.4799999999999998,1.2245,0.25549999999999995,0.6723684210526314,0.022071428571428558,1,0.022071428571428558,0.10100000000000002,0.25549999999999995,,,0.9731824661439772,2.197671655975291,1.144371209785163,22.680482320896303,7,0
2025-3,Lags 1,21,35,2025-3,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.4799999999999998,1.0189999999999997,0.461,0.57625,0.029357142857142866,1,0.025714285714285714,0.10100000000000002,0.25549999999999995,0.461,,0.9610655737704918,1.7224994060346877,2.7731884057971,12.64208937198066,7,0
2025-3,Lags 1,28,35,2025-3,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.4799999999999998,0.6239999999999996,0.8560000000000002,0.7133333333333335,0.05642857142857145,1,0.035952380952380965,0.10100000000000002,0.25549999999999995,0.461,0.8560000000000002,0.9391482537419815,1.4552150154430983,1.9140232108317328,21.248852890608177,7,0
2025-3,Lags 2,7,35,2025-3,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.81,1.712,0.098,0.5764705882352941,,0,,0.098,,,,0.9796363636363636,2.484848484848485,0.499010047281331,15.623980496453825,6,0
2025-3,Lags 2,14,35,2025-3,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.81,1.6,0.21000000000000005,0.5526315789473686,0.016000000000000007,1,0.016000000000000007,0.098,0.21000000000000005,,,0.9653636363636363,1.9696969696969697,1.1472222222222683,15.635416666666629,7,0
2025-3,Lags 2,21,35,2025-3,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.81,1.382,0.4280000000000001,0.5350000000000001,0.03114285714285715,1,0.023571428571428577,0.098,0.21000000000000005,0.4280000000000001,,0.9548181818181818,1.424242424242424,1.6256944444444343,15.133333333333312,7,0
2025-3,Lags 2,28,35,2025-3,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.81,1.382,0.4280000000000001,0.35666666666666674,0,1,0.01571428571428572,0.098,0.21000000000000005,0.4280000000000001,0.4280000000000001,0.9354545454545454,1.303030303030303,1.8405864197530661,19.630864197530755,7,3
2025-3,Tags 1,7,35,2025-3,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.47724,1.35024,0.127,0.7470588235294118,,0,,0.127,,,,0.9883180858550317,1.5482054890921884,,,,
2025-3,Tags 1,14,35,2025-3,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.47724,1.1996600000000002,0.27758,0.7304736842105263,0.02151142857142857,1,0.02151142857142857,0.127,0.27758,,,0.9808585503166783,0.8913910391742904,,,,
2025-3,Tags 1,21,35,2025-3,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.47724,0.8747300000000001,0.60251,0.7531374999999999,0.04641857142857143,1,0.033965,0.127,0.27758,0.60251,,0.9725545390570021,1.3605442176870748,,,,
2025-3,Tags 1,28,35,2025-3,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.47724,0.43044000000000016,1.0468,0.8723333333333333,0.06347,1,0.0438,0.127,0.27758,0.60251,1.0468,0.957353976073188,0.9852216748768473,,,,
2025-3,Tags 2,7,35,2025-3,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.49024,1.3642400000000001,0.126,0.7411764705882352,,0,,0.126,,,,0.9842002237136466,2.0041014168530946,,,,
2025-3,Tags 2,14,35,2025-3,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.49024,1.19468,0.29556,0.7777894736842105,0.02422285714285714,1,0.02422285714285714,0.126,0.29556,,,0.9744127516778524,1.2117822520507084,,,,
2025-3,Tags 2,21,35,2025-3,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.49024,0.9055700000000001,0.5846699999999999,0.7308374999999998,0.04130142857142856,1,0.03276214285714285,0.126,0.29556,0.5846699999999999,,0.9663031319910514,1.2117822520507084,,,,
2025-3,Tags 2,28,35,2025-3,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.49024,0.39559999999999995,1.09464,0.9122000000000001,0.07285285714285716,1,0.04612571428571429,0.126,0.29556,0.5846699999999999,1.09464,0.9512024608501118,1.0253542132736764,,,,
2025-3,Tags 3,7,35,2025-3,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.5820999999999998,1.4530999999999998,0.129,0.7588235294117647,,0,,0.129,,,,0.9891960151536411,1.0289509377484685,,,,
2025-3,Tags 3,14,35,2025-3,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.5820999999999998,1.2658699999999998,0.31623,0.8321842105263159,0.026747142857142858,1,0.026747142857142858,0.129,0.31623,,,0.9831626210186615,0.9821804405780833,,,,
2025-3,Tags 3,21,35,2025-3,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.5820999999999998,1.0331899999999998,0.54891,0.6861375,0.03324,1,0.02999357142857143,0.129,0.31623,0.54891,,0.9767082924091484,0.8886394462373136,,,,
2025-3,Tags 3,28,35,2025-3,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.5820999999999998,0.57066,1.01144,0.8428666666666667,0.06607571428571427,1,0.042020952380952374,0.129,0.31623,0.54891,1.01144,0.963799635190122,0.8418689490669286,,,,
2025-4,Lags 1,7,35,2025-4,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.568,1.467,0.10100000000000002,0.5941176470588236,,0,,0.10100000000000002,,,,0.9837282074206527,2.5033527045149753,,,,
2025-4,Lags 1,14,35,2025-4,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.568,1.333,0.23500000000000004,0.6184210526315791,0.019142857142857145,1,0.019142857142857145,0.10100000000000002,0.23500000000000004,,,0.9754135002235136,0.9834599910594547,0.7091914893617002,20.944510638297857,2,0
2025-4,Lags 1,21,35,2025-4,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.568,0.9830000000000001,0.585,0.73125,0.04999999999999999,1,0.034571428571428565,0.10100000000000002,0.23500000000000004,0.585,,0.9677246312025034,0.8642527194158843,0.8913128447596677,22.64819227738377,3,6
2025-4,Lags 1,28,35,2025-4,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.568,0.44799999999999995,1.12,0.9333333333333335,0.07642857142857144,1,0.04852380952380953,0.10100000000000002,0.23500000000000004,0.585,1.12,0.9552972731336612,0.7748472656832067,1.8913128447596677,22.64819227738377,3,13
2025-4,Lags 2,7,35,2025-4,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.594,1.493,0.10100000000000002,0.5941176470588236,,0,,0.10100000000000002,,,,0.9857908847184986,2.3830801310694074,,,,
2025-4,Lags 2,14,35,2025-4,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.594,1.3510000000000002,0.24299999999999997,0.6394736842105262,0.02028571428571428,1,0.02028571428571428,0.10100000000000002,0.24299999999999997,,,0.9763181411974977,1.2511170688114388,0.9103518821603984,16.6805237315875,2,0
2025-4,Lags 2,21,35,2025-4,X values known at checkpoint; Day 35 weight is Y and is never included in X,1.594,1,0.594,0.7424999999999999,0.05014285714285714,1,0.03521428571428571,0.10100000000000002,0.24299999999999997,0.594,,0.9689901697944593,0.9830205540661304,3.786825396825403,14.394841269841265,7,1
