feature,mae_without,delta_mae,pct_mae_change,helps_model
percent_low_humidity_days,0.01681662675421793,0.0010166113235237778,6.434242599211908,True
resting_days,0.016716427048724912,0.0009164116180307609,5.800067867341948,True
sqft_per_bird,0.01664277651181782,0.0008427610811236677,5.333925683936134,True
feed_surplus_days,0.01636044910270945,0.0005604336720153001,3.5470450929216484,True
critical_days,0.016158358741708637,0.00035834331101448555,2.26799342435036,True
low_humidity_days,0.015989738733479,0.00018972330278484856,1.2007792246599935,True
current_population,0.015989266256132253,0.00018925082543810173,1.1977888646263637,True
bodyweight_at_day7,0.01574885437314506,-5.116105754909145e-05,-0.3238038454677874,False
average_daily_mortality_ratio_to_normal_target,0.01566295912608232,-0.00013705630461183227,-0.8674441187290087,False
warning_days,0.015556189943540539,-0.00024382548715361219,-1.5431977786549544,False
is_tags,0.015542479802544154,-0.000257535628149997,-1.6299707381911241,False
high_mortality_severity,0.015517837530369599,-0.00028217790032455253,-1.7859343338132136,False
