harvest_cycle,bldg,prediction_day,average_humidity,average_humidity_trend,average_temperature,average_temperature_lag1,average_temperature_lag2,average_temperature_trend,cold_stress_days,cold_stress_flag_cycle,cold_stress_flag_day,heat_stress_days,heat_stress_flag_cycle,heat_stress_flag_day,high_humidity_days,high_humidity_flag_cycle,high_humidity_flag_day,humidity_abs_error,humidity_gap,humidity_range,humidity_volatility,humidity_within_target,low_humidity_days,low_humidity_flag_cycle,low_humidity_flag_day,max_humidity,max_humidity_trend,max_temperature,max_temperature_trend,min_humidity,min_humidity_trend,min_temperature_trend,percent_cold_stress_days,percent_heat_stress_days,percent_high_humidity_days,percent_low_humidity_days,target_humidity,target_temperature,temperature_abs_error,temperature_gap,temperature_range,temperature_volatility,temperature_within_target,feed_cumulative_g_per_bird,feed_daily_g_per_bird,feed_daily_g_per_bird_ratio_lag1,feed_daily_g_per_bird_ratio_lag3,feed_deficit_days,feed_deficit_flag,feed_efficiency_score,feed_gap_cumulative,feed_gap_daily,feed_surplus_days,feed_surplus_flag,feed_volatility_score,compounding_stress_days,critical_days,current_population,is_tags,max_thi_cycle,max_thi_day,projected_day35_weight_from_trajectory,resting_days,sqft_per_bird,thi_stress_days,warning_days,bodyweight_at_day7,bodyweight_deficit_g_interpolated,bodyweight_g,bodyweight_g_is_extrapolated_fallback,bodyweight_g_is_interpolated,bodyweight_g_lag1,bodyweight_g_lag2,day_7_bodyweight_lower_than_mean,average_daily_mortality_ratio_to_normal_target,cumulative_allowable_mortality_normal,cumulative_mortality_difference_from_normal_target,daily_mortality_difference_from_normal_target,early_mortality_concentration,five_day_mortality_concern,high_mortality_days,high_mortality_severity,mortality_dailypercent_ratio_lag1,mortality_dailypercent_ratio_lag2,mortality_dailypercent_ratio_lag3,mortality_percent_cum,percent_high_mortality_days,final_harvest_recovery
2025-2,Tags 1,1,77.42010416666665,0.0,28.15472074468085,28.15472074468085,28.15472074468085,0.0,0,0,0,0,0,0,1,1,1,17.420104166666647,17.420104166666647,22.5,0.0,0,0,0,0,86.8,0.0,32.6,0.0,64.3,0.0,0.0,0.0,0.0,1.0,0.0,60.0,30.0,1.8452792553191488,-1.8452792553191488,7.100000000000001,0.0,1,14.79727730097662,14.79727730097662,3.0,3.0,0,0,147.9727730097662,4.797277300976621,4.797277300976621,1,1,0.0,0,1,6758,1,27.67854880516591,27.67854880516591,1789.0,29.5,1.0654039656703167,0,1,106.75,0.0,64.0,True,False,669.9717991631799,637.6489644351465,0,6.176470588235294,6.8,35.2,35.2,1.8333333333333333,0,1,5.176470588235294,3.0,3.0,3.0,0.6176470588,1.0,0.887794117647059
2025-2,Tags 1,2,77.42010416666665,-1.1658284442341368e-14,28.15472074468085,28.15472074468085,28.15472074468085,-6.783381100595097e-15,0,0,0,0,0,0,2,1,1,17.420104166666647,17.420104166666647,22.5,0.0,0,0,0,0,86.8,-1.7209744916952118e-14,32.6,-6.772789795300852e-15,64.3,-2.231677083022784e-14,-4.066460168369259e-15,0.0,0.0,1.0,0.0,60.0,30.0,1.8452792553191488,-1.8452792553191488,7.100000000000001,0.0,1,29.68239833778569,14.841199168892846,1.0029682398337785,3.0,1,1,86.57366181854161,-0.3176016622143081,-5.158800831107154,1,0,1.4121146998584422,0,1,6738,1,27.67854880516591,27.67854880516591,1789.0,29.5,1.068566340160285,0,2,106.75,0.0,77.0,True,False,64.0,637.6489644351465,0,4.5588235294117645,13.6,48.400000000000006,13.2,1.2419354838709675,0,2,5.176470588235294,0.4761904762752834,3.0,3.0,0.9117647059,1.0,0.887794117647059
2025-2,Tags 1,3,77.42010416666665,1.136476922109094e-14,28.15472074468085,28.15472074468085,28.15472074468085,-1.2895420286198469e-15,0,0,0,0,0,0,3,1,1,17.420104166666647,17.420104166666647,22.5,0.0,0,0,0,0,86.8,1.802190973325158e-15,32.6,2.30148056710964e-15,64.3,-3.313032514863088e-15,2.3936246954295856e-15,0.0,0.0,1.0,0.0,60.0,30.0,1.8452792553191488,-1.8452792553191488,7.100000000000001,4.3511678576336575e-15,1,44.62293618920125,14.874312063067084,1.0022311468094602,3.0,2,1,81.80871634686895,-5.377063810798752,-5.125687936932916,1,0,1.1531996636313655,0,1,6723,1,27.67854880516591,27.67854880516591,1789.0,29.5,1.07095046854083,0,3,106.75,0.0,91.0,True,False,77.0,64.0,0,3.774509803921569,20.4,56.60000000000001,8.2,1.0,0,3,5.176470588235294,0.749999999915,0.3571428571659863,3.0,1.132352941,1.0,0.887794117647059
2025-2,Tags 1,4,77.42010416666665,-1.0656246691081632e-14,28.15472074468085,28.15472074468085,28.15472074468085,-4.860576503336004e-15,0,0,0,0,0,0,4,1,1,17.420104166666647,17.420104166666647,22.5,0.0,0,0,0,0,86.8,-1.1688067064152732e-14,32.6,-2.2267158016781103e-15,64.3,-8.691606854378891e-15,-3.4693771706650844e-15,0.0,0.0,1.0,0.0,60.0,30.0,1.8452792553191488,-1.8452792553191488,7.100000000000001,0.0,1,67.18423409973126,22.394744699910422,1.5055986861749775,1.5134368468199464,3,1,89.57897879964167,-7.815765900268744,-2.6052553000895777,1,0,0.9450955999807183,0,2,6698,1,27.67854880516591,27.67854880516591,1789.0,29.5,1.0749477455957002,0,4,106.75,0.0,107.0,True,False,91.0,77.0,0,3.75,27.2,74.80000000000001,18.2,0.7549019607843137,0,4,5.176470588235294,1.6666666665155556,1.249999999745,0.5952380952226757,1.5,1.0,0.887794117647059
2025-2,Tags 1,5,77.42010416666665,-4.822292063407377e-15,28.15472074468085,28.15472074468085,28.15472074468085,-3.371434273386755e-15,0,0,0,0,0,0,5,1,1,17.420104166666647,17.420104166666647,22.5,0.0,0,0,0,0,86.8,-3.627382670784715e-15,32.6,-3.764398267022435e-15,64.3,-3.145486211302101e-15,-4.80122207299609e-16,0.0,0.0,1.0,0.0,60.0,28.0,0.1547207446808514,0.1547207446808514,7.100000000000001,0.0,1,89.84725965858041,22.461814914645103,1.0029949086552858,1.5134770889487872,4,1,89.84725965858041,-10.152740341419587,-2.538185085354897,1,0,0.8648441707415309,0,2,6678,1,27.67854880516591,27.67854880516591,1789.0,29.5,1.0781671159029649,0,5,106.75,0.0,125.0,True,False,107.0,91.0,0,3.588235294117647,34.0,88.00000000000001,13.2,0.6311475409836066,1,5,5.176470588235294,0.8000000001632,1.3333333334844444,1.0,1.794117647,1.0,0.887794117647059
2025-2,Tags 1,6,77.42010416666665,-3.280471822643205e-15,28.154720744680848,28.15472074468085,28.15472074468085,-1.3488542533772617e-15,0,0,0,0,0,0,6,1,1,17.420104166666647,17.420104166666647,22.5,0.0,0,0,0,0,86.8,-5.226196707538049e-15,32.6,-3.003278291787231e-16,64.3,-1.2637676618891284e-15,-6.929659921216828e-16,0.0,0.0,1.0,0.0,60.0,28.0,0.1547207446808514,0.1547207446808514,7.100000000000001,3.891802844472395e-15,1,112.56190904997749,22.512381809995496,1.0022512381809996,1.5135074290859971,5,1,73.85014138728681,-22.43809095002252,-12.487618190004504,1,0,0.800072259853328,0,2,6663,1,27.67854880516591,27.67854880516591,1789.0,29.5,1.080594326879784,0,6,106.75,0.0,145.0,True,False,125.0,107.0,0,3.357843137254902,40.8,96.20000000000002,8.2,0.5620437956204379,1,6,5.176470588235294,0.749999999915,0.6000000000544,1.0,2.014705882,1.0,0.887794117647059
2025-2,Tags 1,7,77.42010416666665,2.54453727244602e-15,28.154720744680848,28.15472074468085,28.15472074468085,-3.895921039444663e-16,0,0,0,0,0,0,7,1,1,17.420104166666647,17.420104166666647,22.5,0.0,0,0,0,0,86.8,2.981360072665549e-15,32.6,1.656277457553702e-15,64.3,-1.585001016368459e-15,1.2138620989631208e-15,0.0,0.0,1.0,0.0,60.0,28.0,0.1547207446808514,0.1547207446808514,7.100000000000001,3.837369354665453e-15,1,142.8141912206855,30.06614552014432,1.3355381840048106,1.3425536179595108,6,1,84.95581034578593,-27.1858087793145,-4.9338544798556825,1,0,0.7310492118793457,0,2,6652,1,27.67854880516591,27.67854880516591,1596.1736526946108,29.5,1.0823812387251954,0,6,149.0,-18.0,149.0,False,False,145.0,125.0,0,3.109243697478992,47.6,100.40000000000002,4.2,0.5202702702702703,1,7,5.176470588235294,0.7333333333937778,0.549999999983,0.44000000007616,2.176470588,1.0,0.887794117647059
2025-2,Tags 1,8,77.42010416666665,6.19100399074924e-15,28.15472074468085,28.15472074468085,28.15472074468085,2.560235073882277e-15,0,0,0,0,0,0,8,1,1,22.420104166666647,22.420104166666647,22.5,0.0,0,0,0,0,86.8,3.730138838203249e-15,32.6,2.821334018596945e-15,64.3,1.0375528248368057e-15,1.5927353798953544e-15,0.0,0.0,1.0,0.0,55.0,28.0,0.1547207446808514,0.1547207446808514,7.100000000000001,0.0,1,173.14062029509185,30.11141222523336,1.0015055706112617,1.3405600722673894,7,1,69.4615532013906,-46.85937970490815,-19.88858777476664,1,0,0.6918641612679525,0,2,6642,1,27.67854880516591,27.67854880516591,1580.5925673216886,29.5,1.084010840108401,0,6,149.0,-22.366812227074234,169.63318777292577,False,True,149.0,145.0,0,2.9044117647058822,54.4,103.6,3.2,0.4873417721518987,1,8,5.176470588235294,0.9090909088099172,0.6666666665155555,0.49999999983,2.323529412,1.0,0.887794117647059
2025-2,Tags 1,9,77.42010416666665,2.917569773198844e-15,28.15472074468085,28.15472074468085,28.15472074468085,1.0383261863092424e-15,0,0,0,1,1,1,9,1,1,22.420104166666647,22.420104166666647,22.5,0.0,0,0,0,0,86.8,-6.967445516541837e-16,32.6,1.926709849426818e-15,64.3,2.4487606206954734e-15,5.833989137158367e-16,0.0,0.1111111111111111,1.0,0.0,55.0,25.0,3.1547207446808514,3.1547207446808514,7.100000000000001,0.0,0,203.527815468114,30.15226895823911,1.0013568521031209,1.3393637871249813,8,1,67.84260515603799,-66.47218453188603,-19.84773104176089,1,0,0.6579257733898114,1,2,6633,1,27.67854880516591,27.67854880516591,1567.3458118300916,29.5,1.0854816824966078,0,6,149.0,-27.25764192139738,192.74235807860265,False,True,169.63318777292577,149.0,0,2.7287581699346406,61.2,105.8,2.2,0.4610778443113772,1,9,5.176470588235294,0.9000000003399999,0.8181818182380165,0.6000000000906667,2.455882353,1.0,0.887794117647059
2025-2,Tags 1,10,77.42010416666665,5.929324924733543e-15,28.15472074468085,28.15472074468085,28.15472074468085,1.0489235393749254e-15,0,0,0,2,1,1,10,1,1,22.420104166666647,22.420104166666647,22.5,0.0,0,0,0,0,86.8,3.621045517473897e-15,32.6,4.151382088140757e-16,64.3,2.5895147748354027e-15,-1.8871550300651995e-16,0.0,0.2,1.0,0.0,55.0,25.0,3.1547207446808514,3.1547207446808514,7.100000000000001,0.0,0,241.4729852097797,37.73015393902807,1.251320555387866,1.2549049200120737,9,1,68.02861089006576,-88.52701479022033,-22.26984606097193,1,0,0.6206476902843973,2,2,6626,1,27.67854880516591,27.67854880516591,1556.766647375528,29.5,1.0866284334440084,0,6,149.0,-32.323144104803475,216.67685589519647,False,True,192.74235807860265,169.63318777292577,0,2.558823529411765,68.0,106.0,0.2000000000000001,0.4425287356321839,1,10,5.176470588235294,0.7777777778617284,0.70000000034,0.636363636476033,2.558823529,1.0,0.887794117647059
2025-2,Tags 1,11,77.42010416666665,1.130364682040006e-15,28.154720744680848,28.15472074468085,28.15472074468085,1.302138512516356e-15,0,0,0,3,1,1,11,1,1,22.420104166666647,22.420104166666647,22.5,0.0,0,0,0,0,86.8,-4.780300776693633e-15,32.6,9.227997508175206e-16,64.3,2.586988526354164e-15,9.90452133024727e-16,0.0,0.2727272727272727,1.0,0.0,55.0,25.0,3.1547207446808514,3.1547207446808514,7.100000000000002,3.726117541341096e-15,0,279.6674225245654,37.79289493575208,1.0016628873771731,1.2551020408163267,10,1,67.3488768726864,-110.33257747543462,-22.20710506424792,1,0,0.5961194848699677,3,2,6615,1,27.67854880516591,27.67854880516591,1547.3750193564372,29.5,1.08843537414966,0,6,149.0,-38.08733624454149,243.9126637554585,False,True,216.67685589519647,192.74235807860265,0,2.4732620320855614,74.8,110.20000000000002,4.2,0.4162162162162162,1,11,5.176470588235294,1.5714285711510203,1.2222222221382717,1.10000000034,2.720588235,1.0,0.887794117647059
2025-2,Tags 1,12,77.42010416666665,-2.675605527985585e-16,28.154720744680848,28.15472074468085,28.15472074468085,1.3229991297389886e-15,0,0,0,4,1,1,12,1,1,22.420104166666647,22.420104166666647,22.5,0.0,0,0,0,0,86.8,5.750770099106333e-16,32.6,1.2743436555537021e-15,64.3,2.500081457902131e-15,6.067178005271581e-16,0.0,0.3333333333333333,1.0,0.0,55.0,25.0,3.1547207446808514,3.1547207446808514,7.100000000000001,3.710688416924011e-15,0,317.8928247048138,37.84438389343021,1.0013623978201631,1.2551089918256129,11,1,61.58527068371873,-142.1071752951862,-32.15561610656979,1,0,0.574142274376975,4,2,6606,1,27.67854880516591,27.67854880516591,1539.550907112256,29.5,1.0899182561307903,0,6,149.0,-44.20087336244541,272.7991266375546,False,True,243.9126637554585,216.67685589519647,0,2.377450980392157,81.6,112.40000000000002,2.2,0.3969072164948453,1,12,5.176470588235294,0.8181818182380165,1.2857142855755102,1.0,2.852941176,1.0,0.887794117647059
2025-2,Tags 1,13,77.42010416666665,4.691331236161485e-16,28.154720744680848,28.15472074468085,28.15472074468085,1.3814364750221513e-15,0,0,0,5,1,1,13,1,1,22.420104166666647,22.420104166666647,22.5,0.0,0,0,0,0,86.8,1.1752006107247913e-15,32.6,8.805487397987455e-16,64.3,3.751150414171871e-16,6.915014398866307e-16,0.0,0.3846153846153846,1.0,0.0,55.0,25.0,3.1547207446808514,3.1547207446808514,7.1000000000000005,3.697781635498623e-15,0,363.6914684043037,45.46143355053796,1.2012729201394152,1.204909834823458,12,1,62.08853193244768,-176.3085315956963,-34.53856644946204,1,0,0.5499330236160452,5,2,6599,1,27.67854880516591,27.67854880516591,1532.8029645119627,29.5,1.091074405212911,0,6,149.0,-50.83842794759824,304.16157205240177,False,True,272.7991266375546,243.9126637554585,0,2.2737556561085976,88.39999999999999,112.60000000000002,0.2000000000000001,0.3830845771144278,1,13,5.176470588235294,0.7777777778617284,0.636363636476033,1.0,2.955882353,1.0,0.887794117647059
2025-2,Tags 1,14,77.42010416666665,-1.1536256484809613e-15,28.154720744680848,28.15472074468085,28.15472074468085,-1.1784087075527521e-15,0,0,0,6,1,1,14,1,1,22.420104166666647,22.420104166666647,22.5,0.0,0,0,0,0,86.8,-3.163651978215829e-15,32.6,-2.0809458693257514e-16,64.3,-3.2683870908612468e-15,-5.592533086358858e-16,0.0,0.4285714285714285,1.0,0.0,55.0,25.0,3.1547207446808514,3.1547207446808514,7.1000000000000005,3.6868252213847854e-15,0,409.4631483166515,45.49590536851683,1.000758265089475,1.2038216560509551,13,1,57.77257824573566,-220.5368516833485,-44.50409463148317,1,0,0.5326969557082571,6,2,6594,1,27.67854880516591,27.67854880516591,1526.9747474747476,29.5,1.091901728844404,0,6,149.0,-58.0,338.0,False,False,304.16157205240177,272.7991266375546,0,2.163865546218488,95.2,110.80000000000004,-1.7999999999999998,0.3737864077669903,1,13,5.176470588235294,0.7142857140359183,0.5555555554212346,0.4545454544667768,3.029411765,0.9285714285714286,0.887794117647059
2025-2,Tags 2,1,77.42010416666665,0.0,28.15472074468085,28.15472074468085,28.15472074468085,0.0,0,0,0,0,0,0,1,1,1,17.420104166666647,17.420104166666647,22.5,0.0,0,0,0,0,86.8,0.0,32.6,0.0,64.3,0.0,0.0,0.0,0.0,1.0,0.0,60.0,30.0,1.8452792553191488,-1.8452792553191488,7.100000000000001,0.0,1,7.381163271331562,7.381163271331562,3.0,3.0,1,1,73.81163271331562,-2.6188367286684384,-2.6188367286684384,0,0,0.0,0,1,6774,1,27.67854880516591,27.67854880516591,1789.0,29.5,1.0628875110717448,0,1,106.75,0.0,64.0,True,False,669.9717991631799,637.6489644351465,0,3.823529411764706,6.8,19.2,19.2,2.3076923076923075,0,1,2.823529411764706,3.0,3.0,3.0,0.3823529412,1.0,0.824852941176471
