cycle_id,building_id,age_day,record_date,beginning_inventory,population,mortality_daily,mortality_cumulative,feed_daily_bags,feed_cumulative_bags,feed_daily_kg_per_bird,bodyweight_kg,temperature_min_c,temperature_max_c,temperature_avg_c,humidity_min_pct,humidity_max_pct,humidity_avg_pct
2026-3,Tags 1,1,2026-07-04,7123,7113,10.0,10,1.0,1,0.00702938,0.04503,28.7,41.6,33.48252259,47.1,85.7,69.35745568
2026-3,Tags 1,2,2026-07-05,7123,7102,11.0,21,1.0,2,0.00704027,0.05107,28.1,41.8,33.52590278,47.5,84.0,68.76173611
2026-3,Tags 1,3,2026-07-06,7123,7089,13.0,34,2.0,4,0.01410636,0.062955,28.4,42.3,33.43263889,43.7,84.0,69.14625
2026-3,Tags 1,4,2026-07-07,7123,7081,8.0,42,2.0,6,0.0141223,0.07147,29.2,40.0,33.3409375,50.2,84.4,71.55267361
2026-3,Tags 1,5,2026-07-08,7123,7066,15.0,57,3.0,9,0.02122842,0.08095,29.3,38.6,32.69791667,53.4,81.4,70.42559028
2026-3,Tags 1,6,2026-07-09,7123,7054,12.0,69,4.0,13,0.02835271,0.09129,29.4,38.4,33.04690972,52.3,82.7,69.75951389
2026-3,Tags 1,7,2026-07-10,7123,7045,9.0,78,4.0,17,0.02838893,0.11474,27.9,35.0,30.37177083,67.7,92.0,82.05795139
2026-3,Tags 2,1,2026-07-04,7114,7095,19.0,19,1.0,1,0.00704722,0.04504,29.0,40.4,34.06800973,47.6,86.3,69.06174427
2026-3,Tags 2,2,2026-07-05,7114,7078,17.0,36,2.0,3,0.01412828,0.05361,28.5,40.6,34.1841959,50.3,83.8,67.9365752
2026-3,Tags 2,3,2026-07-06,7114,7063,15.0,51,2.0,5,0.01415829,0.06172,28.7,41.2,33.87128472,46.3,82.6,68.75763889
2026-3,Tags 2,4,2026-07-07,7114,7045,18.0,69,2.0,7,0.01419446,0.07082,30.1,40.2,34.05572917,51.9,83.2,70.804375
2026-3,Tags 2,5,2026-07-08,7114,7033,12.0,81,3.0,10,0.02132803,0.08068,29.6,38.9,33.73784722,55.1,82.2,68.93871528
2026-3,Tags 2,6,2026-07-09,7114,7019,14.0,95,4.0,14,0.02849409,0.0887,30.8,38.7,34.20600694,53.2,79.6,67.59902778
2026-3,Tags 2,7,2026-07-10,7114,7004,15.0,110,4.0,18,0.02855511,0.11474,29.4,35.4,31.56190972,67.9,85.4,78.66447917
2026-3,Tags 3,1,2026-07-04,7143,7129,14.0,14,1.0,1,0.00701361,0.044385,28.7,42.4,34.51128472,43.3,85.5,68.04013889
2026-3,Tags 3,2,2026-07-05,7143,7109,20.0,34,2.0,3,0.01406668,0.05106,27.3,41.3,33.57565972,49.3,86.6,67.88388889
2026-3,Tags 3,3,2026-07-06,7143,7093,16.0,50,2.0,5,0.01409841,0.06119,29.4,43.0,34.61667825,42.9,79.0,65.70003472
2026-3,Tags 3,4,2026-07-07,7143,7076,17.0,67,2.0,7,0.01413228,0.0717,29.2,42.2,34.29184028,41.0,85.9,66.82222222
2026-3,Tags 3,5,2026-07-08,7143,7063,13.0,80,3.0,10,0.02123743,0.07852,28.6,39.9,33.66482639,19.5,86.5,59.6740625
2026-3,Tags 3,6,2026-07-09,7143,7049,14.0,94,4.0,14,0.02837282,0.08899,31.1,40.0,34.82975694,36.5,78.7,59.00222222
2026-3,Tags 3,7,2026-07-10,7143,7038,11.0,105,4.0,18,0.02841716,0.11474,30.3,36.4,32.23961806,0.0,81.0,55.30538194
