model,pooled_mae_g,cycle_macro_mae_g,rmse_g,r2,bias_g,worst_cycle_mae_g,within_100g_pct,within_200g_pct
historical_remaining_gain,77.63776881720435,77.63776881720435,109.71840155235566,-8.844007700602912,-28.2005107526882,77.63776881720435,75.0,91.66666666666666
catboost_extended,105.3925069622572,105.3925069622572,128.99729647260688,-12.607370750061301,-105.3925069622572,105.3925069622572,58.333333333333336,75.0
catboost_reduced_growth_context,121.44968006591694,121.44968006591694,136.75899097253398,-14.29412997514362,-73.36324190856162,121.44968006591694,33.33333333333333,83.33333333333334
trish_model3_day21_strict_reconstruction,50.96728207573938,50.96728207573938,51.89427775213664,-1.2021755924716637,12.823117212941648,50.96728207573938,100.0,100.0
