prediction_day,pooled_mae_g,cycle_macro_mae_g,rmse_g,r2,bias_g,worst_cycle_mae_g,within_100g_pct,within_200g_pct
7,129.083442026582,117.74033249480897,162.98305178923593,0.3179008983735353,1.197855991774671,186.02794199913103,51.61290322580645,80.64516129032258
14,123.97266776000396,113.29864141568369,160.0806727635752,0.34197803898593393,-6.289251615975519,194.94687515138705,54.83870967741935,83.87096774193549
21,125.1493606828798,114.58808889428452,162.53591191566457,0.32163840766014895,-0.5944634207881615,201.1718534442849,54.83870967741935,80.64516129032258
28,123.76266289635774,112.08842816487305,163.2607319286039,0.3155746844522074,5.849995933793919,202.13540256420154,54.83870967741935,80.64516129032258
