model,pooled_mae_g,cycle_macro_mae_g,rmse_g,r2,bias_g,worst_cycle_mae_g,within_100g_pct,within_200g_pct
catboost_reduced_growth_context,125.49203334145585,114.42887274241257,162.21997889832477,0.3242730073679564,0.0410342222012277,196.07051828975113,54.03225806451613,81.45161290322581
historical_remaining_gain,127.1208997429989,120.92760425824173,163.90887260176706,0.31012959760018155,-0.646102791563283,183.25,50.806451612903224,75.80645161290323
catboost_extended,143.53528697505027,131.17121560157034,182.12701532288068,0.14825159799489573,4.618770903916954,228.88014573828164,47.58064516129033,66.12903225806451
xgboost,156.8704068879158,143.16194322374133,196.10511736898846,0.012492415313838823,25.043877071257576,257.7772774251302,45.16129032258064,68.54838709677419
gradient_boosting,163.26300783453158,152.64363952862666,205.61402224218142,-0.08559552453480679,48.35063082920642,265.94769292822536,43.54838709677419,67.74193548387096
extra_trees,173.28519161290353,158.2734997592601,212.82144628223358,-0.16303655989532206,27.60089258064372,308.52566944444436,42.74193548387097,60.483870967741936
huber,188.28084947002546,172.66592684036138,238.348320050824,-0.4587698441760728,54.215897976414105,286.91276546025864,35.483870967741936,54.83870967741935
ridge,194.4149844086148,179.18700591542884,246.66672843532461,-0.5623694344725254,45.81321029894758,288.77793112111823,35.483870967741936,58.87096774193549
linear_regression,549.4715219462973,493.0931217625168,1029.7988604874924,-26.231238905340472,201.500878502581,1287.6052593747524,28.225806451612907,39.516129032258064
