flock,farm,actual,predicted,prediction_day,error_g,absolute_error_g
2025-2_Tags 1,Tags,1573.0,1549.6744159872917,1,-23.325584012708305,23.325584012708305
2025-2_Tags 1,Tags,1573.0,1549.262506539972,2,-23.737493460027963,23.737493460027963
2025-2_Tags 1,Tags,1573.0,1549.339060449869,3,-23.660939550130934,23.660939550130934
2025-2_Tags 1,Tags,1573.0,1553.4233470833967,4,-19.57665291660328,19.57665291660328
2025-2_Tags 1,Tags,1573.0,1555.600582460377,5,-17.399417539623073,17.399417539623073
2025-2_Tags 1,Tags,1573.0,1556.799324440383,6,-16.20067555961691,16.20067555961691
2025-2_Tags 1,Tags,1573.0,1558.975331064867,7,-14.024668935132922,14.024668935132922
2025-2_Tags 1,Tags,1573.0,1560.1351751536708,8,-12.864824846329157,12.864824846329157
2025-2_Tags 1,Tags,1573.0,1563.1689066677716,9,-9.83109333222842,9.83109333222842
2025-2_Tags 1,Tags,1573.0,1563.1689066677716,10,-9.83109333222842,9.83109333222842
2025-2_Tags 1,Tags,1573.0,1563.1689066677716,11,-9.83109333222842,9.83109333222842
2025-2_Tags 1,Tags,1573.0,1563.1689066677716,12,-9.83109333222842,9.83109333222842
2025-2_Tags 1,Tags,1573.0,1563.1689066677716,13,-9.83109333222842,9.83109333222842
2025-2_Tags 1,Tags,1573.0,1563.1689066677716,14,-9.83109333222842,9.83109333222842
2025-2_Tags 1,Tags,1573.0,1563.1689066677716,15,-9.83109333222842,9.83109333222842
2025-2_Tags 1,Tags,1573.0,1563.1689066677716,16,-9.83109333222842,9.83109333222842
2025-2_Tags 1,Tags,1573.0,1563.1689066677716,17,-9.83109333222842,9.83109333222842
2025-2_Tags 1,Tags,1573.0,1563.1689066677716,18,-9.83109333222842,9.83109333222842
2025-2_Tags 1,Tags,1573.0,1563.1689066677716,19,-9.83109333222842,9.83109333222842
2025-2_Tags 1,Tags,1573.0,1563.1689066677716,20,-9.83109333222842,9.83109333222842
2025-2_Tags 1,Tags,1573.0,1563.1689066677716,21,-9.83109333222842,9.83109333222842
2025-2_Tags 2,Tags,1599.0,1557.958285386174,1,-41.04171461382589,41.04171461382589
2025-2_Tags 2,Tags,1599.0,1517.616313283327,2,-81.38368671667308,81.38368671667308
2025-2_Tags 2,Tags,1599.0,1560.1245813158844,3,-38.87541868411563,38.87541868411563
2025-2_Tags 2,Tags,1599.0,1558.1372360703217,4,-40.862763929678295,40.862763929678295
2025-2_Tags 2,Tags,1599.0,1559.8237785933643,5,-39.176221406635705,39.176221406635705
2025-2_Tags 2,Tags,1599.0,1560.422952743252,6,-38.577047256748074,38.577047256748074
2025-2_Tags 2,Tags,1599.0,1565.027143924257,7,-33.97285607574304,33.97285607574304
2025-2_Tags 2,Tags,1599.0,1567.01448916982,8,-31.98551083017992,31.98551083017992
2025-2_Tags 2,Tags,1599.0,1568.7081207746137,9,-30.29187922538631,30.29187922538631
2025-2_Tags 2,Tags,1599.0,1568.7081207746137,10,-30.29187922538631,30.29187922538631
2025-2_Tags 2,Tags,1599.0,1568.7081207746137,11,-30.29187922538631,30.29187922538631
2025-2_Tags 2,Tags,1599.0,1567.5984037495762,12,-31.401596250423836,31.401596250423836
2025-2_Tags 2,Tags,1599.0,1568.6080041880923,13,-30.39199581190769,30.39199581190769
2025-2_Tags 2,Tags,1599.0,1568.6080041880923,14,-30.39199581190769,30.39199581190769
2025-2_Tags 2,Tags,1599.0,1568.5534164574792,15,-30.446583542520784,30.446583542520784
2025-2_Tags 2,Tags,1599.0,1568.5534164574792,16,-30.446583542520784,30.446583542520784
2025-2_Tags 2,Tags,1599.0,1568.5534164574792,17,-30.446583542520784,30.446583542520784
2025-2_Tags 2,Tags,1599.0,1568.5534164574792,18,-30.446583542520784,30.446583542520784
2025-2_Tags 2,Tags,1599.0,1568.5534164574792,19,-30.446583542520784,30.446583542520784
2025-2_Tags 2,Tags,1599.0,1569.4881897637983,20,-29.511810236201654,29.511810236201654
2025-2_Tags 2,Tags,1599.0,1569.4881897637983,21,-29.511810236201654,29.511810236201654
2025-2_Tags 3,Tags,1544.0,1528.0336373470857,1,-15.966362652914313,15.966362652914313
2025-2_Tags 3,Tags,1544.0,1522.9676139273893,2,-21.032386072610734,21.032386072610734
2025-2_Tags 3,Tags,1544.0,1522.7447212612822,3,-21.255278738717834,21.255278738717834
2025-2_Tags 3,Tags,1544.0,1523.3456124278118,4,-20.65438757218817,20.65438757218817
2025-2_Tags 3,Tags,1544.0,1524.4247752674914,5,-19.57522473250856,19.57522473250856
2025-2_Tags 3,Tags,1544.0,1524.4247752674914,6,-19.57522473250856,19.57522473250856
2025-2_Tags 3,Tags,1544.0,1528.1723872975206,7,-15.827612702479428,15.827612702479428
2025-2_Tags 3,Tags,1544.0,1529.3357727837072,8,-14.66422721629283,14.66422721629283
2025-2_Tags 3,Tags,1544.0,1529.3357727837072,9,-14.66422721629283,14.66422721629283
2025-2_Tags 3,Tags,1544.0,1529.3357727837072,10,-14.66422721629283,14.66422721629283
2025-2_Tags 3,Tags,1544.0,1529.3357727837072,11,-14.66422721629283,14.66422721629283
2025-2_Tags 3,Tags,1544.0,1530.3472748290458,12,-13.652725170954227,13.652725170954227
2025-2_Tags 3,Tags,1544.0,1533.1638313090316,13,-10.836168690968407,10.836168690968407
2025-2_Tags 3,Tags,1544.0,1533.1638313090316,14,-10.836168690968407,10.836168690968407
2025-2_Tags 3,Tags,1544.0,1533.0389188368783,15,-10.961081163121662,10.961081163121662
2025-2_Tags 3,Tags,1544.0,1533.0389188368783,16,-10.961081163121662,10.961081163121662
2025-2_Tags 3,Tags,1544.0,1533.0389188368783,17,-10.961081163121662,10.961081163121662
2025-2_Tags 3,Tags,1544.0,1533.0389188368783,18,-10.961081163121662,10.961081163121662
2025-2_Tags 3,Tags,1544.0,1533.0389188368783,19,-10.961081163121662,10.961081163121662
