harvest_cycle,bldg,prediction_day,bodyweight_at_day_35,average_temperature,average_temperature_lag1,average_temperature_lag2,average_temperature_trend,max_temperature,max_temperature_trend,min_temperature_trend,temperature_range,max_thi_cycle,max_thi_day,target_temperature,temperature_abs_error,temperature_gap,temperature_volatility,temperature_within_target,thi_stress_days,average_humidity,average_humidity_trend,humidity_range,max_humidity,max_humidity_trend,min_humidity,min_humidity_trend,high_humidity_days,high_humidity_flag_cycle,high_humidity_flag_day,humidity_abs_error,humidity_gap,humidity_volatility,humidity_within_target,low_humidity_days,low_humidity_flag_cycle,low_humidity_flag_day,percent_high_humidity_days,percent_low_humidity_days,target_humidity,feed_cumulative_g_per_bird,feed_daily_g_per_bird,feed_daily_g_per_bird_ratio_lag1,feed_daily_g_per_bird_ratio_lag3,feed_deficit_days,feed_deficit_flag,feed_efficiency_score,feed_gap_cumulative,feed_gap_daily,feed_surplus_days,feed_surplus_flag,feed_volatility_score,average_daily_mortality_ratio_to_normal_target,cumulative_allowable_mortality_normal,cumulative_mortality_difference_from_normal_target,daily_mortality_difference_from_normal_target,early_mortality_concentration,five_day_mortality_concern,high_mortality_days,high_mortality_severity,mortality_dailypercent_ratio_lag1,mortality_dailypercent_ratio_lag2,mortality_dailypercent_ratio_lag3,mortality_percent_cum,percent_high_mortality_days,bodyweight_at_day7,bodyweight_deficit_g_interpolated,bodyweight_g,bodyweight_g_is_extrapolated_fallback,bodyweight_g_is_interpolated,bodyweight_g_lag1,bodyweight_g_lag2,day_7_bodyweight_lower_than_mean,cold_stress_days,cold_stress_flag_cycle,cold_stress_flag_day,compounding_stress_days,critical_days,current_population,current_recoverable_ratio,heat_stress_days,heat_stress_flag_cycle,heat_stress_flag_day,is_tags,percent_cold_stress_days,percent_heat_stress_days,projected_day35_weight_from_trajectory,sqft_per_bird,warning_days,latest_actual_bodyweight_g,previous_checkpoint_bodyweight_g,latest_checkpoint_gain_g,latest_checkpoint_gain_g_per_day,latest_checkpoint_gain_ratio,projected_day35_from_latest_gain,days_to_day35,checkpoint_index,bodyweight_measurement_freshness_days
2025-2,Tags 1,7,1573.0,28.154720744680848,28.15472074468085,28.15472074468085,0.0,32.6,1.4897023514804435e-15,2.2345535272206653e-15,7.100000000000001,27.67854880516591,27.67854880516591,28.0,0.1547207446808514,0.1547207446808514,3.837369354665453e-15,1,0,77.42010416666665,2.979404702960887e-15,22.5,86.8,1.4897023514804435e-15,64.3,0.0,7,1,1,17.420104166666647,17.420104166666647,0.0,0,0,0,0,1.0,0.0,60.0,142.8141912206855,30.06614552014432,1.3355381840048106,1.3425536179595108,6,1,84.95581034578593,-27.1858087793145,-4.9338544798556825,1,0,0.7310492118793457,3.1092436974789917,47.599999999999994,100.40000000000002,4.2,0.5202702702702703,1,7,5.176470588235294,0.7333333333937778,0.549999999983,0.44000000007616,2.176470588,1.0,149.0,-18.0,149.0,False,False,145.0,125.0,,0,0,0,0,2,6652,0.978235294117647,0,0,0,1,0.0,0.0,1596.1736526946108,1.0823812387251954,6,149.0,,,,,,28,1,0
2025-2,Tags 1,14,1573.0,28.154720744680848,28.15472074468085,28.15472074468085,-2.482837252467406e-16,32.6,0.0,-4.965674504934812e-16,7.1000000000000005,27.67854880516591,27.67854880516591,25.0,3.1547207446808514,3.1547207446808514,3.6868252213847854e-15,0,0,77.42010416666665,-9.931349009869624e-16,22.5,86.8,0.0,64.3,-2.482837252467406e-15,14,1,1,22.420104166666647,22.420104166666647,0.0,0,0,0,0,1.0,0.0,55.0,409.4631483166515,45.49590536851683,1.000758265089475,1.2038216560509551,13,1,57.77257824573566,-220.53685168334852,-44.50409463148317,1,0,0.5326969557082571,2.1638655462184877,95.19999999999999,110.80000000000003,-1.7999999999999998,0.3737864077669903,1,13,5.176470588235294,0.7142857140359183,0.5555555554212346,0.4545454544667768,3.029411765,0.9285714285714286,149.0,-58.0,338.0,False,False,304.16157205240177,272.7991266375546,,0,0,0,6,2,6594,0.969705882352941,6,1,1,1,0.0,0.42857142857142855,1526.9747474747476,1.091901728844404,6,338.0,149.0,189.0,27.0,2.2684563758389262,905.0,21,2,0
2025-2,Tags 1,21,1573.0,28.15472074468085,28.15472074468085,28.15472074468085,5.305291444888081e-16,32.6,-2.6526457224440405e-16,0.0,7.1,27.67854880516591,27.67854880516591,22.0,6.154720744680851,6.154720744680851,0.0,0,0,77.42010416666662,0.0,22.5,86.8,2.6526457224440404e-15,64.3,-5.305291444888081e-16,21,1,1,27.420104166666647,27.420104166666647,2.912358572177595e-14,0,0,0,0,1.0,0.0,50.0,958.4419567550988,92.0104278484895,1.092247424405069,1.0959278415190086,20,1,73.06383612364957,-421.5580432449011,-27.9895721515105,1,0,0.4393712513499706,1.9537815126050422,142.8,136.19999999999996,1.2000000000000002,0.2759856630824372,1,20,5.176470588235294,0.8,0.6666666666666666,0.5714285714285714,4.102941176,0.9523809523809523,149.0,-204.0,554.0,False,False,518.1988950276243,484.1878453038674,,0,0,0,13,2,6521,0.958970588235294,13,1,1,1,0.0,0.6190476190476191,1307.5277044854881,1.104125134181874,7,554.0,338.0,216.0,30.857142857142858,1.6390532544378698,986.0,14,3,0
2025-2,Tags 1,28,1573.0,28.15472074468085,28.15472074468085,28.15472074468085,5.121236555939726e-16,32.6,6.828315407919634e-16,1.7070788519799085e-16,7.1000000000000005,27.67854880516591,27.67854880516591,20.0,8.154720744680851,8.154720744680851,0.0,0,0,77.42010416666663,6.828315407919634e-16,22.5,86.8,0.0,64.3,3.414157703959817e-16,28,1,1,27.420104166666647,27.420104166666647,1.4471626093874067e-14,0,0,0,0,1.0,0.0,50.0,1681.909781429236,108.51030847930554,1.0013951325375912,1.082432061815103,27,1,69.2437105054392,-698.0902185707641,-51.489691520694464,1,0,0.3859987858481602,1.832983193277311,190.40000000000003,158.59999999999997,2.2,0.2206303724928366,1,27,5.176470588235294,0.9000000003399999,0.6428571431,1.2857142855755102,5.132352941,0.9642857142857143,149.0,95.0,1331.0,False,False,1210.7112970711296,1093.673640167364,,0,0,0,20,2,6451,0.948676470588235,20,1,1,1,0.0,0.7142857142857143,1926.5040453074434,1.116106030072857,8,1331.0,554.0,777.0,111.0,2.4025270758122743,2108.0,7,4,0
2025-2,Tags 2,7,1599.0,28.154720744680848,28.15472074468085,28.15472074468085,0.0,32.6,1.4897023514804435e-15,2.2345535272206653e-15,7.100000000000001,27.67854880516591,27.67854880516591,28.0,0.1547207446808514,0.1547207446808514,3.837369354665453e-15,1,0,77.42010416666665,2.979404702960887e-15,22.5,86.8,1.4897023514804435e-15,64.3,0.0,7,1,1,17.420104166666647,17.420104166666647,0.0,0,0,0,0,1.0,0.0,60.0,134.58950201884252,29.908778226409453,1.0014954389113206,1.3405114401076716,7,1,82.31197369032853,-35.41049798115748,-5.091221773590547,0,0,0.7368928455314991,2.3739495798319328,47.599999999999994,65.4,3.2,0.5309734513274337,1,7,2.823529411764706,0.7692307690295858,0.7692307690295858,0.588235294,1.661764706,1.0,143.0,-24.0,143.0,False,False,145.0,125.0,,0,0,0,0,1,6687,0.983382352941176,0,0,0,1,0.0,0.0,1531.8982035928143,1.0767160161507403,4,143.0,,,,,,28,1,0
2025-2,Tags 2,14,1599.0,28.154720744680848,28.15472074468085,28.15472074468085,-2.482837252467406e-16,32.6,0.0,-4.965674504934812e-16,7.1000000000000005,27.67854880516591,27.67854880516591,25.0,3.1547207446808514,3.1547207446808514,3.6868252213847854e-15,0,0,77.42010416666665,-9.931349009869624e-16,22.5,86.8,0.0,64.3,-2.482837252467406e-15,14,1,1,22.420104166666647,22.420104166666647,0.0,0,0,0,0,1.0,0.0,55.0,400.0603864734299,45.289855072463766,1.0015096618357486,1.2045289855072463,14,1,56.911854919101295,-229.93961352657004,-44.710144927536234,0,0,0.5652107741911127,1.8487394957983194,95.19999999999999,80.80000000000001,3.2,0.3409090909090909,1,14,2.823529411764706,1.25,1.428571427877551,1.25,2.588235294,1.0,143.0,-52.0,344.0,False,False,308.01310043668127,274.6593886462882,,0,0,0,6,1,6624,0.974117647058824,6,1,1,1,0.0,0.42857142857142855,1554.080808080808,1.0869565217391304,4,344.0,143.0,201.0,28.714285714285715,2.4055944055944054,947.0,21,2,0
2025-2,Tags 2,21,1599.0,28.15472074468085,28.15472074468085,28.15472074468085,5.305291444888081e-16,32.6,-2.6526457224440405e-16,0.0,7.1,27.67854880516591,27.67854880516591,22.0,6.154720744680851,6.154720744680851,0.0,0,0,77.42010416666662,0.0,22.5,86.8,2.6526457224440404e-15,64.3,-5.305291444888081e-16,21,1,1,27.420104166666647,27.420104166666647,2.912358572177595e-14,0,0,0,0,1.0,0.0,50.0,930.1616346447088,91.49130832570906,1.0010673985971332,1.2045745654162854,21,1,71.82288697066532,-449.8383653552912,-28.508691674290944,0,0,0.46976913487525246,1.6946778711484594,142.8,99.2,0.2000000000000001,0.2479338842975206,1,21,2.823529411764706,0.70000000034,0.875000000425,0.7777777778617284,3.558823529,1.0,143.0,-85.0,673.0,False,False,618.4696132596684,566.6657458563536,,0,0,0,13,1,6558,0.964411764705882,13,1,1,1,0.0,0.6190476190476191,1588.3865435356201,1.0978956999085088,5,673.0,344.0,329.0,47.0,1.9563953488372092,1331.0,14,3,0
2025-2,Tags 2,28,1599.0,28.15472074468085,28.15472074468085,28.15472074468085,5.121236555939726e-16,32.6,6.828315407919634e-16,1.7070788519799085e-16,7.1000000000000005,27.67854880516591,27.67854880516591,20.0,8.154720744680851,8.154720744680851,0.0,0,0,77.42010416666663,6.828315407919634e-16,22.5,86.8,0.0,64.3,3.414157703959817e-16,28,1,1,27.420104166666647,27.420104166666647,1.4471626093874067e-14,0,0,0,0,1.0,0.0,50.0,1654.6098199168848,107.74203478528553,1.0012313375404032,1.081398515291081,28,1,68.43009637285729,-725.3901800831152,-52.25796521471449,0,0,0.41598579245771483,1.591386554621849,190.40000000000003,112.60000000000001,1.2000000000000002,0.198019801980198,1,27,2.823529411764706,1.0,0.7272727270479339,0.8,4.455882353,0.9642857142857143,143.0,37.0,1273.0,False,False,1180.112970711297,1089.73640167364,,0,0,0,20,1,6497,0.955441176470588,20,1,1,1,0.0,0.7142857142857143,1842.554207119741,1.1082037863629368,5,1273.0,673.0,600.0,85.71428571428571,1.8915304606240713,1873.0,7,4,0
2025-2,Tags 3,7,1544.0,28.154720744680848,28.15472074468085,28.15472074468085,0.0,32.6,1.4897023514804435e-15,2.2345535272206653e-15,7.100000000000001,27.67854880516591,27.67854880516591,28.0,0.1547207446808514,0.1547207446808514,3.837369354665453e-15,1,0,77.42010416666665,2.979404702960887e-15,22.5,86.8,1.4897023514804435e-15,64.3,0.0,7,1,1,17.420104166666647,17.420104166666647,0.0,0,0,0,0,1.0,0.0,60.0,186.51148910772903,37.30229782154581,1.2529841838257236,1.2565279021187703,1,0,108.14531721372524,16.511489107729034,2.3022978215458068,6,1,0.7140843121498744,2.058823529411765,47.599999999999994,50.400000000000006,9.2,0.5204081632653061,1,7,1.9411764705882355,1.6,1.777777777106173,1.3333333333333333,1.441176471,1.0,148.0,-19.0,148.0,False,False,145.0,125.0,,0,0,0,0,0,6702,0.985588235294118,0,0,0,1,0.0,0.0,1585.4610778443114,1.0743061772605194,4,148.0,,,,,,28,1,0
2025-2,Tags 3,14,1544.0,28.154720744680848,28.15472074468085,28.15472074468085,-2.482837252467406e-16,32.6,0.0,-4.965674504934812e-16,7.1000000000000005,27.67854880516591,27.67854880516591,25.0,3.1547207446808514,3.1547207446808514,3.6868252213847854e-15,0,0,77.42010416666665,-9.931349009869624e-16,22.5,86.8,0.0,64.3,-2.482837252467406e-15,14,1,1,22.420104166666647,22.420104166666647,0.0,0,0,0,0,1.0,0.0,55.0,512.5113053964426,52.75851673198674,1.001205908953874,1.1712390714501055,8,1,69.98578750161506,-117.4886946035574,-37.24148326801326,6,0,0.5288918855907054,1.7436974789915964,95.19999999999999,70.80000000000001,1.2000000000000002,0.3072289156626506,1,14,1.9411764705882355,0.8,1.0,0.7272727270479339,2.441176471,1.0,148.0,-52.0,344.0,False,False,308.90829694323145,276.38427947598257,,0,0,0,6,0,6634,0.975588235294118,6,1,1,1,0.0,0.42857142857142855,1554.080808080808,1.0853180584865842,5,344.0,148.0,196.0,28.0,2.324324324324324,932.0,21,2,0
