cycle_id,building_id,actual_day35_weight_kg,gompertz_blank_prediction_kg,historical_mean_blank_prediction_kg
2025-2,Tags 1,1.573,1.516950341369405,1.4900800000000003
2025-2,Tags 2,1.599,1.516950341369405,1.4900800000000003
2025-2,Tags 3,1.544,1.516950341369405,1.4900800000000003
2025-3,Lags 1,1.4799999999999998,1.531753169738793,1.49441
2025-3,Lags 2,1.554,1.531753169738793,1.49441
2025-3,Tags 1,1.47724,1.531753169738793,1.49441
2025-3,Tags 2,1.49024,1.531753169738793,1.49441
2025-3,Tags 3,1.5820999999999998,1.531753169738793,1.49441
2025-4,Lags 1,1.568,1.5400482132853983,1.5035223076923077
2025-4,Lags 2,1.594,1.5400482132853983,1.5035223076923077
2025-4,Tags 1,1.4415,1.5400482132853983,1.5035223076923077
2025-4,Tags 2,1.4500400000000002,1.5400482132853983,1.5035223076923077
2025-4,Tags 3,1.29312,1.5400482132853983,1.5035223076923077
2025-5,Lags 1,1.306,1.5265942246174555,1.5023296000000002
2025-5,Lags 2,1.176,1.5265942246174555,1.5023296000000002
2025-5,Lags 3,1.182,1.5265942246174555,1.5023296000000002
2025-5,Tags 1,1.702,1.5265942246174555,1.5023296000000002
2025-5,Tags 2,1.776,1.5265942246174555,1.5023296000000002
2025-5,Tags 3,1.738,1.5265942246174555,1.5023296000000002
2026-1,Lags 1,1.6059999999999999,1.5025581638197054,1.4592208000000002
2026-1,Lags 2,1.9720000000000002,1.5025581638197054,1.4592208000000002
2026-1,Lags 3,1.6914399999999998,1.5025581638197054,1.4592208000000002
2026-1,Tags 1,1.44668,1.5025581638197054,1.4592208000000002
2026-1,Tags 2,1.55016,1.5025581638197054,1.4592208000000002
2026-1,Tags 3,1.6914399999999998,1.5025581638197054,1.4592208000000002
2026-2,Lags 1,1.192,1.5511138638677275,1.5393583999999998
2026-2,Lags 2,1.204,1.5511138638677275,1.5393583999999998
2026-2,Lags 3,1.078,1.5511138638677275,1.5393583999999998
2026-2,Tags 1,1.36,1.5511138638677275,1.5393583999999998
2026-2,Tags 2,1.55628,1.5511138638677275,1.5393583999999998
2026-2,Tags 3,1.564,1.5511138638677275,1.5393583999999998
