cycle_id,building_id,actual_day35_weight_kg,gompertz_blank_prediction_kg,historical_mean_blank_prediction_kg
2026-3,Tags 1,1.446,1.5283485550151636,1.4980077419354838
2026-3,Tags 2,1.44,1.5283485550151636,1.4980077419354838
2026-3,Tags 3,1.517,1.5283485550151636,1.4980077419354838
