review_day,rows,independent_building_cycles,rmse,cycle_macro_rmse,mae,cycle_macro_mae,r2,bias,worst_cycle_rmse,fold_rmse_sd,fold_rmse_se,target_side_accuracy,majority_side_accuracy,below_target_recall,at_or_above_target_recall,balanced_target_accuracy,actual_target_hits,candidate
7,31,31,3.3675055654504558,3.315384680315598,2.588996887798041,2.76480628043826,-0.09674369750627498,-0.03738961105284116,6.115216672358464,1.6048598077751102,0.6551812729583526,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,age_band_remaining_loss
14,31,31,3.1840293153548207,3.1522019112763418,2.5146297342890827,2.707186373369645,0.01951124241683011,-0.03859485631879906,6.211562448362425,1.6381188524868355,0.6687592211043757,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,age_band_remaining_loss
21,31,31,3.12099684944252,3.081614534395649,2.460917734710762,2.654105483901118,0.05794737598118538,-0.036831420006520496,6.1326712526137515,1.642746877506152,0.6706486044067356,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,age_band_remaining_loss
28,31,31,2.7981906132532766,2.7705137801738076,2.23276363593874,2.4396660343348833,0.24274335350954657,-0.03261328121723621,5.899143190986727,1.6209187413184225,0.6617373051240827,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,age_band_remaining_loss
7,31,31,8.122439141515512,8.098444444994946,7.522307929117621,7.82908673383143,-5.380598759744021,7.522307929117621,12.613910045802573,2.8176835073292668,1.1503144749353948,0.0967741935483871,0.9032258064516129,0.0,1.0,0.5,3,current_survival
14,31,31,7.108800169698175,7.066791235766524,6.495422318768649,6.810259190536742,-3.8874363620762606,6.495422318768649,11.723324895159347,2.791442662706268,1.139601694977728,0.0967741935483871,0.9032258064516129,0.0,1.0,0.5,3,current_survival
21,31,31,6.285532472194122,6.184845927449655,5.616619403171179,5.922424617890947,-2.8209614127013265,5.616619403171179,10.807622982546732,2.787628448080242,1.1380445483771904,0.12903225806451613,0.9032258064516129,0.03571428571428571,1.0,0.5178571428571429,3,current_survival
28,31,31,4.76036503181156,4.579955394865027,4.0268560876589,4.308982958100485,-1.1916389783298826,4.0268560876589,9.077727283923664,2.627126488946702,1.0725198979448218,0.45161290322580644,0.9032258064516129,0.39285714285714285,1.0,0.6964285714285714,3,current_survival
7,31,31,3.4417072042797807,3.2074394030305498,2.469061420889356,2.7240715620358418,-0.14560881026950256,0.74766032745508,7.200040691664279,2.2809140619123096,0.9311792664706863,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,remaining_extra_trees_peer
14,31,31,3.3465120237975508,3.1383586490000055,2.503170083355005,2.7610665292737107,-0.08311178817408216,0.4356464153972216,7.25856517183676,2.264627178768423,0.9245301742702099,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,remaining_extra_trees_peer
21,31,31,3.329840014503783,3.1146494454822604,2.4738017916062796,2.7139942774367234,-0.07234674749232206,0.3624200756089129,6.955542330044334,2.187236040747316,0.8929353744760401,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,remaining_extra_trees_peer
28,31,31,3.1649275388747053,3.146814217418997,2.587582608391414,2.8355908237486585,0.031240341030469465,-0.24451074642218457,6.672381364823504,1.8067545921699852,0.7376044735411306,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,remaining_extra_trees_peer
7,31,31,5.813822122216318,5.371926014502777,4.3004709418035265,4.70415861526822,-2.2689778907316223,2.1275545511237213,11.502608157474608,3.756802023053649,1.5337080035228345,0.6774193548387096,0.9032258064516129,0.75,0.0,0.375,3,remaining_huber_peer
14,31,31,4.898220968184316,4.545692909704215,3.7110518460857405,3.879135704397835,-1.3204127828307377,2.299455214069648,7.8419698511448654,2.4679090301210795,1.007519642567261,0.7096774193548387,0.9032258064516129,0.7142857142857143,0.6666666666666666,0.6904761904761905,3,remaining_huber_peer
21,31,31,4.905187961352098,4.54153864902937,3.707660075828631,3.92949941408613,-1.3270183635883428,2.031607643961715,7.8676793488568055,2.660323837151561,1.0860726585973892,0.7741935483870968,0.9032258064516129,0.7857142857142857,0.6666666666666666,0.7261904761904762,3,remaining_huber_peer
28,31,31,4.391766552627038,4.315079915278349,3.5429202513788853,3.8044058823054554,-0.8653786284036911,2.0036059657757264,7.509520194620321,2.0899009739927754,0.8531984998713129,0.6451612903225806,0.9032258064516129,0.6428571428571429,0.6666666666666666,0.6547619047619048,3,remaining_huber_peer
7,31,31,3.4150507783887543,3.2106216045484377,2.448466226370294,2.7125351621262523,-0.12793178257148075,0.8610592416135746,7.105053083601071,2.218691213008163,0.9057768947777771,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,remaining_random_forest_peer
14,31,31,3.3070638148784837,3.0570809438330016,2.4132425515813636,2.698647713629001,-0.05772715429020758,0.6884846480669478,7.439679148436057,2.3953528246225986,0.9778986957099615,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,remaining_random_forest_peer
21,31,31,3.2541014455782777,2.992168909386997,2.345654199468658,2.616297148754626,-0.02411960183861872,0.5433179621619643,7.1299415494976675,2.326210223113871,0.9496713468457993,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,remaining_random_forest_peer
28,31,31,3.145578070757619,3.1744757506507035,2.637002654579233,2.8665227966788236,0.04304957403826959,-0.4916063618542484,6.410083539054955,1.6280680288968603,0.6646559895560145,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,remaining_random_forest_peer
7,31,31,3.7154401844915537,3.5473929568577365,2.8785263792887923,3.0720173151273347,-0.3350854131385135,0.6596629805846761,6.537776906741589,1.9615859817379346,0.8008141236423904,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,remaining_ridge_peer
14,31,31,3.54082483709182,3.415789310085076,2.8023528434421756,3.0810646775381367,-0.212543670638639,0.7018731773767249,7.467335677275136,2.1986214451725647,0.8975834463688875,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,remaining_ridge_peer
21,31,31,3.548739489358739,3.3732306482899026,2.73640773182453,2.9936630247210374,-0.2179704215669398,0.8271605760170733,7.140329302196912,2.181432996744006,0.8905662916822022,0.8709677419354839,0.9032258064516129,0.9642857142857143,0.0,0.48214285714285715,3,remaining_ridge_peer
28,31,31,3.1997986334766937,3.1278319212585166,2.522282733359107,2.7676758665697743,0.009775196994750046,0.3929641620170388,6.644828777988418,1.8927639242671317,0.7727176363337293,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,3,remaining_ridge_peer
