candidate,family,target_form,feature_set,checkpoint_specific,complexity,description,rows,independent_building_cycles,rmse,cycle_macro_rmse,mae,cycle_macro_mae,r2,bias,worst_cycle_rmse,fold_rmse_sd,fold_rmse_se,target_side_accuracy,majority_side_accuracy,below_target_recall,at_or_above_target_recall,balanced_target_accuracy,actual_target_hits,rmse_95ci_low,rmse_95ci_high,r2_95ci_low,r2_95ci_high,rank
residual_lightgbm_peer,lightgbm,baseline_residual,peer,False,8,LightGBM correction to the age baseline,124,31,3.1244450877857046,3.09216025698899,2.4493269971915934,2.641441042256236,0.055864569334251324,-0.036357293588116214,6.090749749320301,1.613251034852504,0.6586069770675927,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,12,2.1411479191489216,4.284463904105888,-0.5318775759994008,0.10849797498405112,1
residual_xgboost_peer,xgboost,baseline_residual,peer,False,8,XGBoost correction to the age baseline,124,31,3.124445087785705,3.0921602569889903,2.4493269971915943,2.641441042256237,0.05586456933425121,-0.03635729358811738,6.090749749320301,1.613251034852504,0.6586069770675927,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,12,2.141147919148922,4.284463904105888,-0.531877575999401,0.10849797498405,2
age_band_remaining_loss,baseline,remaining,core,False,1,Fold-local historical remaining loss by checkpoint,124,31,3.1244450890001074,3.0921602574758347,2.4493269981841563,2.6414410430109765,0.05586456860032207,-0.03635729214884923,6.090749750240058,1.6132510362776944,0.6586069776494242,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,12,2.1411479176630395,4.284463905240727,-0.5318775786604382,0.10849797496262081,3
remaining_random_forest_peer,random_forest,remaining,peer,False,7,Conservative random forest on remaining loss,124,31,3.281885148508329,3.1412609292531264,2.4610914079998873,2.723500705297176,-0.04168224116550934,0.4003138724970596,7.031284424438039,2.1082644253642595,0.8606953475007375,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,12,1.896164712382959,4.759769940825659,-0.6301016351974942,0.1795529151580335,4
residual_catboost_peer,catboost,baseline_residual,peer,False,8,CatBoost correction to the age baseline,124,31,3.3069557008408514,3.1637732840736397,2.477970923815099,2.73026397084636,-0.057657997303512065,0.47647289030791756,6.994042494778402,2.0905300757443395,0.8534553295859167,0.9032258064516129,0.9032258064516129,1.0,0.0,0.5,12,1.9136552358986172,4.764467259422619,-0.63228608299103,0.08854211448164737,5
