feature,mean_abs,mean_signed
cycle_day,0.007214105226549511,0.00013963571760586775
weight_staleness_days,0.007069890766009231,-0.0006736618439495471
is_lags_building,0.003666153924561906,-0.00014087751269029866
humidity_deviation_from_band_pp,0.002749880064237041,0.0003092909964128083
weight_gap_pct,0.0025563061222378357,0.00022100950821716812
historical_building_recovery,0.0019559368579071075,-2.5799180250580295e-05
percentage_alive,0.0015426790230759267,4.405677808237616e-05
missingindicator_environment_staleness_days,0.0006187741059900431,-0.00020782915221406322
mortality_recent_3d_per_1000,0.0005945287058005214,-4.625782476805253e-06
missingindicator_temperature_deviation_from_band_c,0.0005906892512110154,-0.00021675347922355445
temperature_deviation_from_band_c,0.0005624859087702513,0.00033980314852124496
missingindicator_environment_out_of_band_days_7d,0.0005615524663460565,-0.00020597914887862586
