model,cycle_mae,r2
Historical remaining gain,182.36335273199023,0.12576571848076057
Ridge,199.95405333882724,-0.04893439185055559
Gradient Boosting,205.42920015655662,-0.01861697347891167
Checkpoint linear,209.8112775953896,-0.13573317771316162
Robust Huber,224.9815437267312,-0.16358930081905498
