model,rows,independent_outcomes,cycle_macro_mae,pooled_mae,rmse,r2,bias,target_side_accuracy,majority_target_side_accuracy
Ordinary linear - remaining loss,151,31,1.8079101733139573,1.8342067618679383,2.6200792587797377,0.019375142468056605,0.09338993200234007,0.8609271523178808,0.8741721854304636
Ridge - compact remaining loss,151,31,1.817331734657064,1.8365294901710638,2.63763951446763,0.006186435245364774,0.07744189325257002,0.8874172185430463,0.8741721854304636
Extra Trees - compact remaining loss,151,31,1.8751881153106942,1.802957391294009,2.51859174928784,0.09387191336013512,-0.008945810244078171,0.8940397350993378,0.8741721854304636
Gradient boosting - compact remaining loss,151,31,1.9709324201090919,1.8722993920517135,2.584903544048729,0.04552903103643835,0.1928394365459283,0.8675496688741722,0.8741721854304636
Transparent baseline,151,31,2.0920299191309346,2.002172445763943,2.6596762577943154,-0.010489005239335603,0.04023861486169359,0.8874172185430463,0.8741721854304636
