model,cycle_mae,r2
Ordinary linear,1.755896815978077,0.05437534825635171
Ridge,1.7563220542458675,0.05536577979160606
Constrained Extra Trees,1.8023434273417713,0.1294997617973892
Gradient Boosting,1.8440522801792532,0.12901754954340616
Age-band baseline,2.0920299191309346,-0.010489005239336047
