model,rows,independent_outcomes,cycle_macro_mae,pooled_mae,rmse,r2,bias,target_side_accuracy,majority_target_side_accuracy,within_100g,within_200g
Transparent baseline,124,31,182.3633527319902,177.65109488656503,241.6737646521188,0.12576571848076068,3.402481043956052,0.8467741935483871,0.8387096774193549,0.4032258064516129,0.6532258064516129
Gradient boosting - final weight,124,31,208.79420982486286,209.40234756957628,276.8397336745882,-0.14716440637365436,8.125701121915757,0.8387096774193549,0.8387096774193549,0.3225806451612903,0.5645161290322581
Ridge - remaining gain,124,31,227.04979288893642,236.31512476072572,292.55181785797413,-0.2810745988253338,1.732378633691786,0.8145161290322581,0.8387096774193549,0.25,0.4838709677419355
Extra Trees - final weight,124,31,235.05114999333819,240.5996334173456,300.80855736882677,-0.35440700613444975,7.173372417073093,0.8387096774193549,0.8387096774193549,0.18548387096774194,0.5161290322580645
Ordinary linear - final weight,124,31,265.3892268882438,269.9730794818829,344.08039243747953,-0.7721018039721457,9.75439031428022,0.7983870967741935,0.8387096774193549,0.31451612903225806,0.46774193548387094
