candidate,family,target_form,feature_set,checkpoint_specific,complexity,description,rows,independent_building_cycles,rmse,cycle_macro_rmse,mae,cycle_macro_mae,r2,bias,worst_cycle_rmse,fold_rmse_sd,fold_rmse_se,within_100g_rate,within_200g_rate,target_side_accuracy,majority_side_accuracy,below_target_recall,at_or_above_target_recall,balanced_target_accuracy,actual_target_hits,rmse_95ci_low,rmse_95ci_high,r2_95ci_low,r2_95ci_high,rank
historical_remaining_gain,baseline,remaining,current,True,0,Fold-local historical remaining gain,124,31,163.9088726017671,149.9082719395848,127.12089974299893,120.92760425824174,0.31012959760018155,-0.6461027915633013,203.1370166198503,53.93536909361509,22.019022228005834,0.5080645161290323,0.7580645161290323,0.9596774193548387,0.967741935483871,0.9833333333333333,0.25,0.6166666666666667,4,119.6968184296337,193.32885526310795,-0.35809664542435726,0.36779025750003413,1
residual_xgboost_peer,xgboost,baseline_residual,peer,True,8,XGBoost correction with peer context,124,31,167.24662563507985,152.3011669353961,130.0546765965675,123.45969880863424,0.28174722116109596,-2.614738682556681,210.5916191308793,56.0803564940122,22.89470966728448,0.5080645161290323,0.7661290322580645,0.9596774193548387,0.967741935483871,0.9833333333333333,0.25,0.6166666666666667,4,121.21003563056011,197.78114766333198,-0.3989764749471878,0.3367210007547957,2
residual_catboost_peer,catboost,baseline_residual,peer,True,8,CatBoost correction with peer context,124,31,169.46907209316444,153.33613363397455,131.41479886696857,124.55909451981921,0.2625314748182763,11.462146791777363,208.9649591267706,58.5372406896177,23.89772844000811,0.5161290322580645,0.7580645161290323,0.967741935483871,0.967741935483871,0.9916666666666667,0.25,0.6208333333333333,4,121.83286761439456,200.07817179230534,-0.31858497207611136,0.31829997122798026,3
residual_lightgbm_peer,lightgbm,baseline_residual,peer,True,8,LightGBM correction with peer context,124,31,171.15773036722246,155.18636590996573,133.11391234703274,126.09875173875876,0.24776138363216915,0.6534430157696736,212.24230510030714,58.07181934770027,23.707720972824923,0.5,0.7661290322580645,0.9596774193548387,0.967741935483871,0.9833333333333333,0.25,0.6166666666666667,4,125.31315410687822,201.88348030443456,-0.4378377685377275,0.32160901112545837,4
residual_hist_gradient_peer,hist_gradient_boosting,baseline_residual,peer,True,7,Histogram boosting correction with peer context,124,31,170.6217928113345,155.21139633237365,133.20857854033804,126.57084754199627,0.252464901708051,0.753421506291578,213.089518722959,57.429351366019766,23.445434517626087,0.5,0.7580645161290323,0.9596774193548387,0.967741935483871,0.9833333333333333,0.25,0.6166666666666667,4,124.66200471154059,201.07590101906774,-0.46076020847260635,0.33718273214265454,5
