review_day,rows,independent_building_cycles,rmse,cycle_macro_rmse,mae,cycle_macro_mae,r2,bias,worst_cycle_rmse,fold_rmse_sd,fold_rmse_se,within_100g_rate,within_200g_rate,target_side_accuracy,majority_side_accuracy,below_target_recall,at_or_above_target_recall,balanced_target_accuracy,actual_target_hits,candidate
7,31,31,192.12277267174966,163.74186626787647,147.4681329102658,139.38964434934613,0.05219220137163427,24.715851471526562,258.6112410857472,87.90784488188125,35.88822739139047,0.3870967741935484,0.7096774193548387,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,direct_huber_biological
14,31,31,186.03030083441726,176.46347336519895,153.19266157019152,150.788761610817,0.11135160009945932,27.88475690979677,222.06318014458833,48.99504152904782,20.002141945439746,0.3225806451612903,0.7096774193548387,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,direct_huber_biological
21,31,31,163.80716877835033,150.1261145712165,129.62703264019504,123.41972967376404,0.3109854474259973,13.459633302501237,207.61096467645504,50.97035454146314,20.808560105889324,0.5161290322580645,0.7741935483870968,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,direct_huber_biological
28,31,31,143.49212847413384,134.8356235028186,121.46520029452316,120.14148146598968,0.47128851822130624,9.854776862824338,207.2089779422687,45.126853807946006,18.422960921106625,0.41935483870967744,0.9032258064516129,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,direct_huber_biological
7,31,31,201.06729517234928,171.5848149687666,160.31366995497294,149.85262708800386,-0.03811497973642819,4.552703335858217,259.52182501001175,88.49967616505472,36.12984150098908,0.3548387096774194,0.6774193548387096,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,direct_trajectory_pls
14,31,31,181.0262904371139,171.73421532380902,154.15107859346574,153.1149760068319,0.15851594613346331,6.469559712517828,219.72492448836573,51.36420337506671,20.96934821890917,0.2903225806451613,0.7096774193548387,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,direct_trajectory_pls
21,31,31,165.1481254901723,155.56750838381922,139.35565478824702,137.44230483334803,0.29965846503738647,5.285297069595374,210.77829373130726,47.96759857961475,19.582690117784548,0.3870967741935484,0.7419354838709677,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,direct_trajectory_pls
28,31,31,152.56292924073688,145.4308486843627,130.09285422188296,131.01443638373186,0.40233114662458913,6.075733599065584,193.93330959079498,48.29851880676371,19.717787734798023,0.41935483870967744,0.8064516129032258,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,direct_trajectory_pls
7,31,31,204.74177416875114,163.653065783173,155.4504945409429,140.80010213675214,-0.07640451582384666,0.4449952853597537,269.13033328625977,108.8036675725296,44.418911282683666,0.4838709677419355,0.6451612903225806,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,historical_remaining_gain
14,31,31,173.98556046812934,141.711294832679,138.06099581708614,124.60978424908423,0.22269940616625383,-0.2715941864587348,225.69755267815086,88.2511435847524,36.028378499956084,0.4838709677419355,0.6451612903225806,0.967741935483871,0.967741935483871,1.0,0.0,0.5,1,historical_remaining_gain
